"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-1515,-301,-1816,2016
2011,-2124,-359,-2483,2016
2012,-2486,-492,-2978,2016
2013,-3005,-381,-3386,2016
2014,-3153,-1163,-4316,2016
2015,-2801,-2204,-5005,2016
2016,4109,1616,5725,2016
2017,14794,8214,23008,2016
2018,27256,18076,45332,2016
2019,42574,30054,72628,2016
2020,57471,43501,100972,2016
2021,73707,56797,130504,2016
2022,91419,71856,163275,2016
2023,110675,87829,198504,2016
2024,131305,103049,234354,2016
2025,150789,118034,268823,2016
2026,169627,133060,302687,2016
2027,188539,147407,335946,2016
2028,206078,160645,366723,2016
2029,225507,172847,398354,2016
2030,244094,184438,428532,2016
2031,264838,195661,460499,2016
2032,286345,205365,491710,2016
2033,307773,214867,522640,2016
2034,330101,223697,553798,2016
2035,350465,232829,583294,2016
2036,369662,241160,610822,2016
2037,391629,250482,642111,2016
2038,413856,260449,674305,2016
2039,433749,269892,703641,2016
2040,455079,277607,732686,2016
2041,477489,285850,763339,2016
2042,498321,294014,792335,2016
2043,518878,301556,820434,2016
2044,539704,309183,848887,2016
2045,559519,318253,877772,2016
2046,577095,326435,903530,2016
2047,593928,334627,928555,2016
2048,610173,341530,951703,2016
2049,625210,348264,973474,2016
2050,642652,354763,997415,2016
2051,658708,361178,1019886,2016
2052,673964,367178,1041142,2016
2053,686606,371187,1057793,2016
2054,699958,374103,1074061,2016
2055,715196,378054,1093250,2016
2056,729358,382369,1111727,2016
2057,744641,383832,1128473,2016
2058,757749,385798,1143547,2016
2059,770077,387089,1157166,2016
2060,783124,389160,1172284,2016
2010,-641,1244,603,2017
2011,-509,2553,2044,2017
2012,-509,4172,3663,2017
2013,-5,5752,5747,2017
2014,270,6662,6932,2017
2015,383,7167,7550,2017
2016,826,8465,9291,2017
2017,7759,13605,21364,2017
2018,17023,22665,39688,2017
2019,29994,33016,63010,2017
2020,43243,45874,89117,2017
2021,59518,58899,118417,2017
2022,77154,73743,150897,2017
2023,95322,89335,184657,2017
2024,115272,105020,220292,2017
2025,135016,120103,255119,2017
2026,154347,136520,290867,2017
2027,171908,152750,324658,2017
2028,188676,167631,356307,2017
2029,207539,181478,389017,2017
2030,226368,194094,420462,2017
2031,245963,206695,452658,2017
2032,267629,217975,485604,2017
2033,289147,229201,518348,2017
2034,311818,239208,551026,2017
2035,329307,249323,578630,2017
2036,348060,258554,606614,2017
2037,367915,267938,635853,2017
2038,386787,277033,663820,2017
2039,403425,287536,690961,2017
2040,421396,296776,718172,2017
2041,440637,306717,747354,2017
2042,457144,317243,774387,2017
2043,475144,327579,802723,2017
2044,492857,336558,829415,2017
2045,508939,345725,854664,2017
2046,526368,352410,878778,2017
2047,542792,358695,901487,2017
2048,558388,364492,922880,2017
2049,572936,369040,941976,2017
2050,587391,373959,961350,2017
2051,601930,379840,981770,2017
2052,615261,385210,1000471,2017
2053,626535,389370,1015905,2017
2054,640189,393624,1033813,2017
2055,652644,398769,1051413,2017
2056,664036,403758,1067794,2017
2057,677028,407127,1084155,2017
2058,688876,411084,1099960,2017
