"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-1027,-125,-1152,2016
2011,-1315,-71,-1386,2016
2012,-1367,299,-1068,2016
2013,-2091,670,-1421,2016
2014,-2100,136,-1964,2016
2015,-1637,-487,-2124,2016
2016,3973,3713,7686,2016
2017,13423,10185,23608,2016
2018,23440,19447,42887,2016
2019,36479,29959,66438,2016
2020,49498,41525,91023,2016
2021,63564,52910,116474,2016
2022,79319,65718,145037,2016
2023,95923,78592,174515,2016
2024,113195,91330,204525,2016
2025,129396,103755,233151,2016
2026,146127,116578,262705,2016
2027,164000,128910,292910,2016
2028,180507,139960,320467,2016
2029,198314,149599,347913,2016
2030,214187,159109,373296,2016
2031,232110,168923,401033,2016
2032,251258,177647,428905,2016
2033,270290,185611,455901,2016
2034,291106,192956,484062,2016
2035,310611,201116,511727,2016
2036,329966,208471,538437,2016
2037,350578,216423,567001,2016
2038,370987,224731,595718,2016
2039,387832,233846,621678,2016
2040,406668,241386,648054,2016
2041,427010,250191,677201,2016
2042,444720,258710,703430,2016
2043,462832,266871,729703,2016
2044,481710,274402,756112,2016
2045,499344,283300,782644,2016
2046,516762,290592,807354,2016
2047,533106,298103,831209,2016
2048,548669,304796,853465,2016
2049,563545,310926,874471,2016
2050,580455,316995,897450,2016
2051,595782,323815,919597,2016
2052,612289,330642,942931,2016
2053,625657,336571,962228,2016
2054,641084,341217,982301,2016
2055,656923,346074,1002997,2016
2056,671080,349949,1021029,2016
2057,686189,351923,1038112,2016
2058,697878,354778,1052656,2016
2059,710139,357226,1067365,2016
2060,721964,360611,1082575,2016
2010,-2198,1294,-904,2017
2011,-3630,2432,-1198,2017
2012,-4708,3720,-988,2017
2013,-5496,4817,-679,2017
2014,-6305,4943,-1362,2017
2015,-6618,4462,-2156,2017
2016,-6701,4604,-2097,2017
2017,-1087,8218,7131,2017
2018,6548,15522,22070,2017
2019,17119,24151,41270,2017
2020,28568,34923,63491,2017
2021,41246,45860,87106,2017
2022,55595,58449,114044,2017
2023,69968,72152,142120,2017
2024,84911,85377,170288,2017
2025,99898,98134,198032,2017
2026,114240,112051,226291,2017
2027,129115,124879,253994,2017
2028,143923,135916,279839,2017
2029,161552,145900,307452,2017
2030,176618,155653,332271,2017
2031,194187,166202,360389,2017
2032,212336,175638,387974,2017
2033,231718,184469,416187,2017
2034,252080,192849,444929,2017
2035,269851,201137,470988,2017
2036,288405,208578,496983,2017
2037,307790,217368,525158,2017
2038,326248,225513,551761,2017
2039,342099,234631,576730,2017
2040,359331,242155,601486,2017
2041,378516,250491,629007,2017
2042,395020,259271,654291,2017
2043,410796,267371,678167,2017
2044,426917,273866,700783,2017
2045,442213,279958,722171,2017
2046,456885,284308,741193,2017
2047,470685,289170,759855,2017
2048,481448,293913,775361,2017
2049,493276,297445,790721,2017
2050,504721,300795,805516,2017
2051,515605,304224,819829,2017
2052,524068,307748,831816,2017
2053,530662,310024,840686,2017
2054,539420,311255,850675,2017
2055,548239,314929,863168,2017
2056,558643,318063,876706,2017
2057,570768,320540,891308,2017
2058,581985,323735,905720,2017
2059,592354,324400,916754,2017
2060,602780,326530,929310,2017
2010,994,783,1777,2018
2011,2352,1756,4108,2018
2012,3698,2367,6065,2018
2013,5305,2228,7533,2018
2014,7199,1486,8685,2018
2015,9163,893,10056,2018
2016,10685,840,11525,2018
2017,12372,1138,13510,2018
2018,17218,5163,22381,2018
2019,25619,11086,36705,2018
2020,34885,20054,54939,2018
2021,45424,29525,74949,2018
2022,57845,40866,98711,2018
2023,71782,52954,124736,2018
2024,86898,64504,151402,2018
2025,102113,75805,177918,2018
2026,116815,88533,205348,2018
2027,132525,100814,233339,2018
2028,148487,111444,259931,2018
2029,165625,120665,286290,2018
2030,181359,128894,310253,2018
2031,198403,137917,336320,2018
2032,216350,146304,362654,2018
2033,235589,153951,389540,2018
2034,256042,160723,416765,2018
2035,273940,167909,441849,2018
2036,292482,174170,466652,2018
2037,311936,181202,493138,2018
2038,331850,187718,519568,2018
2039,349148,195067,544215,2018
2040,367867,200949,568816,2018
2041,388197,207917,596114,2018
2042,406640,217109,623749,2018
2043,424874,225278,650152,2018
2044,442799,231340,674139,2018
2045,459931,237887,697818,2018
2046,476293,243171,719464,2018
2047,493708,247811,741519,2018
2048,508215,252190,760405,2018
2049,521600,257142,778742,2018
2050,535125,262693,797818,2018
2051,549839,268955,818794,2018
2052,561433,275697,837130,2018
2053,570639,280683,851322,2018
2054,581145,286030,867175,2018
2055,589738,291352,881090,2018
2056,598064,295920,893984,2018
2057,608405,299032,907437,2018
2058,616181,302712,918893,2018
2059,625229,305244,930473,2018
2060,636188,308237,944425,2018
2010,475,813,1288,2019
2011,639,1539,2178,2019
2012,-34,2733,2699,2019
2013,-216,3436,3220,2019
2014,-1151,3496,2345,2019
2015,-1481,3595,2114,2019
2016,-1623,4064,2441,2019
2017,-891,4923,4032,2019
2018,-1312,6414,5102,2019
2019,4895,11304,16199,2019
2020,11449,19218,30667,2019
2021,19995,28498,48493,2019
2022,31576,39505,71081,2019
2023,45051,51903,96954,2019
2024,60514,64070,124584,2019
