"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,978,794,1772,2016
2011,2686,1364,4050,2016
2012,3974,1925,5899,2016
2013,5732,2123,7855,2016
2014,8336,1459,9795,2016
2015,11204,1253,12457,2016
2016,21944,7615,29559,2016
2017,39362,18385,57747,2016
2018,59040,32581,91621,2016
2019,81884,48948,130832,2016
2020,104288,67842,172130,2016
2021,129548,87198,216746,2016
2022,155333,107667,263000,2016
2023,182944,129710,312654,2016
2024,212556,150086,362642,2016
2025,241637,169976,411613,2016
2026,268617,189631,458248,2016
2027,295238,208225,503463,2016
2028,320157,225047,545204,2016
2029,345635,239783,585418,2016
2030,370646,253794,624440,2016
2031,398280,268641,666921,2016
2032,427189,281701,708890,2016
2033,456533,294335,750868,2016
2034,486785,306827,793612,2016
2035,513815,319607,833422,2016
2036,540456,331314,871770,2016
2037,567775,344999,912774,2016
2038,595375,357211,952586,2016
2039,621007,371192,992199,2016
2040,648806,383483,1032289,2016
2041,677196,396468,1073664,2016
2042,703664,410523,1114187,2016
2043,728227,423433,1151660,2016
2044,753567,434922,1188489,2016
2045,778163,447406,1225569,2016
2046,799889,458112,1258001,2016
2047,820738,467540,1288278,2016
2048,839273,473986,1313259,2016
2049,857484,480283,1337767,2016
2050,875742,486613,1362355,2016
2051,893659,493924,1387583,2016
2052,909419,500456,1409875,2016
2053,924005,505408,1429413,2016
2054,940446,510715,1451161,2016
2055,957486,517012,1474498,2016
2056,974340,522830,1497170,2016
2057,993123,526596,1519719,2016
2058,1009926,532153,1542079,2016
2059,1026581,536520,1563101,2016
2060,1044883,541576,1586459,2016
2010,-710,881,171,2017
2011,-386,1359,973,2017
2012,-1466,2100,634,2017
2013,-1494,3033,1539,2017
2014,-452,3203,2751,2017
2015,537,3276,3813,2017
2016,1305,4384,5689,2017
2017,11430,12372,23802,2017
2018,25386,25009,50395,2017
2019,44771,39827,84598,2017
2020,65942,57771,123713,2017
2021,89893,75981,165874,2017
2022,115300,96085,211385,2017
2023,143193,117351,260544,2017
2024,172476,137217,309693,2017
2025,201193,156570,357763,2017
2026,228617,177325,405942,2017
2027,254761,197643,452404,2017
2028,280867,216091,496958,2017
2029,307803,231928,539731,2017
2030,333633,247732,581365,2017
2031,360130,263323,623453,2017
2032,387780,276772,664552,2017
2033,416865,290731,707596,2017
2034,447004,304515,751519,2017
2035,475694,317825,793519,2017
