"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-883,271,-612,2016
2011,-1293,773,-520,2016
2012,-1613,1648,35,2016
2013,-2520,2364,-156,2016
2014,-2239,2095,-144,2016
2015,-1417,1364,-53,2016
2016,3692,5350,9042,2016
2017,12584,11647,24231,2016
2018,21758,20773,42531,2016
2019,33582,30750,64332,2016
2020,45279,41612,86891,2016
2021,58041,51983,110024,2016
2022,72671,63592,136263,2016
2023,88225,75875,164100,2016
2024,104250,88004,192254,2016
2025,118996,100044,219040,2016
2026,134425,112227,246652,2016
2027,149999,123408,273407,2016
2028,164568,132569,297137,2016
2029,181459,139829,321288,2016
2030,196270,147486,343756,2016
2031,212857,155636,368493,2016
2032,230820,162856,393676,2016
2033,248597,169491,418088,2016
2034,267575,175770,443345,2016
2035,286194,183166,469360,2016
2036,303993,189883,493876,2016
2037,323506,197232,520738,2016
2038,342830,204158,546988,2016
2039,358521,212361,570882,2016
2040,376085,219118,595203,2016
2041,395419,227366,622785,2016
2042,411005,235379,646384,2016
2043,427949,243076,671025,2016
2044,444220,250227,694447,2016
2045,459343,257560,716903,2016
2046,472685,264016,736701,2016
2047,487079,270349,757428,2016
2048,500060,275923,775983,2016
2049,512637,280546,793183,2016
2050,525584,284996,810580,2016
2051,537404,290362,827766,2016
2052,548862,295680,844542,2016
2053,558540,299895,858435,2016
2054,569881,303390,873271,2016
2055,579628,307345,886973,2016
2056,588811,310479,899290,2016
2057,598281,312638,910919,2016
2058,606997,315010,922007,2016
2059,616004,316325,932329,2016
2060,624851,318019,942870,2016
2010,-1624,1182,-442,2017
2011,-2174,2250,76,2017
2012,-2569,3468,899,2017
2013,-2330,4317,1987,2017
2014,-2040,4281,2241,2017
2015,-1008,3807,2799,2017
2016,-151,4361,4210,2017
2017,5942,8173,14115,2017
2018,13660,15772,29432,2017
2019,24068,24700,48768,2017
2020,35129,35502,70631,2017
2021,47513,46330,93843,2017
2022,62127,58820,120947,2017
2023,76299,72255,148554,2017
2024,90923,85275,176198,2017
2025,104809,97896,202705,2017
2026,118204,111316,229520,2017
2027,132673,123758,256431,2017
2028,147006,134514,281520,2017
2029,164511,144092,308603,2017
2030,179590,153633,333223,2017
2031,196982,163709,360691,2017
2032,215286,172241,387527,2017
2033,234574,179975,414549,2017
2034,254458,187201,441659,2017
2035,271532,194006,465538,2017
2036,289666,200428,490094,2017
2037,308517,208248,516765,2017
2038,328674,215175,543849,2017
2039,345887,223477,569364,2017
2040,364360,229721,594081,2017
2041,383907,237286,621193,2017
2042,401235,246053,647288,2017
2043,417241,254565,671806,2017
2044,436376,261716,698092,2017
2045,453825,268809,722634,2017
2046,470427,274928,745355,2017
2047,486888,281032,767920,2017
2048,500972,287074,788046,2017
2049,514805,292435,807240,2017
2050,530050,297551,827601,2017
2051,543719,303492,847211,2017
2052,556666,309021,865687,2017
2053,566673,313342,880015,2017
2054,578839,316188,895027,2017
2055,591238,320364,911602,2017
2056,604488,322950,927438,2017
2057,618173,324567,942740,2017
2058,631033,327081,958114,2017
2059,641889,328022,969911,2017
2060,651877,330398,982275,2017
2010,1645,680,2325,2018
2011,3046,1416,4462,2018
2012,3984,1751,5735,2018
2013,5391,1465,6856,2018
2014,6865,458,7323,2018
2015,8763,-403,8360,2018
2016,10529,-675,9854,2018
2017,12675,-873,11802,2018
2018,17841,2555,20396,2018
2019,26696,7956,34652,2018
2020,35753,16374,52127,2018
