"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,118,-135,-17,2016
2011,998,-18,980,2016
2012,1035,-31,1004,2016
2013,1693,-59,1634,2016
2014,3436,-615,2821,2016
2015,4970,-1101,3869,2016
2016,17421,6158,23579,2016
2017,37818,18601,56419,2016
2018,60023,34747,94770,2016
2019,86857,53721,140578,2016
2020,115715,75664,191379,2016
2021,146726,97824,244550,2016
2022,179184,122128,301312,2016
2023,213771,148693,362464,2016
2024,250559,173154,423713,2016
2025,286031,196897,482928,2016
2026,319164,222690,541854,2016
2027,352617,246265,598882,2016
2028,384174,268170,652344,2016
2029,416758,287580,704338,2016
2030,446044,305990,752034,2016
2031,476783,324325,801108,2016
2032,508522,340718,849240,2016
2033,542198,355722,897920,2016
2034,576728,369771,946499,2016
2035,609691,384127,993818,2016
2036,642302,397195,1039497,2016
2037,678526,412108,1090634,2016
2038,714577,426313,1140890,2016
2039,747731,442273,1190004,2016
2040,782202,456408,1238610,2016
2041,817197,471927,1289124,2016
2042,849200,488087,1337287,2016
2043,880373,502880,1383253,2016
2044,908627,517796,1426423,2016
2045,934754,533253,1468007,2016
2046,961008,546676,1507684,2016
2047,985966,559590,1545556,2016
2048,1011062,570325,1581387,2016
2049,1034498,579555,1614053,2016
2050,1058771,588065,1646836,2016
2051,1083451,596945,1680396,2016
2052,1105196,606304,1711500,2016
2053,1126774,614401,1741175,2016
2054,1146870,621887,1768757,2016
2055,1166799,629554,1796353,2016
2056,1185462,636636,1822098,2016
2057,1205593,642995,1848588,2016
2058,1223148,650537,1873685,2016
2059,1240662,656364,1897026,2016
2060,1260109,663122,1923231,2016
2010,-2710,804,-1906,2017
2011,-4281,1698,-2583,2017
2012,-6355,2555,-3800,2017
2013,-8277,3596,-4681,2017
2014,-9660,3281,-6379,2017
2015,-11306,2736,-8570,2017
2016,-12183,3128,-9055,2017
2017,-1627,11055,9428,2017
2018,13371,24515,37886,2017
2019,35128,41016,76144,2017
2020,59415,60946,120361,2017
2021,87170,81102,168272,2017
2022,117754,103555,221309,2017
2023,151397,127433,278830,2017
2024,187257,150126,337383,2017
2025,223078,172965,396043,2017
2026,257898,196023,453921,2017
2027,291336,217641,508977,2017
2028,324087,237579,561666,2017
2029,356836,255716,612552,2017
2030,388212,274096,662308,2017
2031,420180,292503,712683,2017
2032,452694,308914,761608,2017
2033,486314,324371,810685,2017
2034,520635,339196,859831,2017
2035,554406,354263,908669,2017
2036,586079,369552,955631,2017
2037,619087,385688,1004775,2017
2038,650818,400460,1051278,2017
2039,680711,416262,1096973,2017
2040,713192,430281,1143473,2017
2041,746344,445106,1191450,2017
2042,777697,459826,1237523,2017
2043,807268,473462,1280730,2017
2044,836095,487167,1323262,2017
2045,862127,501551,1363678,2017
2046,886559,514910,1401469,2017
2047,910715,527269,1437984,2017
2048,933040,539201,1472241,2017
2049,954358,548137,1502495,2017
2050,978024,557159,1535183,2017
2051,1002655,566951,1569606,2017
2052,1023836,576808,1600644,2017
2053,1045302,584405,1629707,2017
2054,1068527,590807,1659334,2017
2055,1091930,596936,1688866,2017
2056,1112811,603283,1716094,2017
2057,1134861,608393,1743254,2017
2058,1154989,613947,1768936,2017
2059,1176960,618436,1795396,2017
2060,1197925,622386,1820311,2017
2010,221,1384,1605,2018
2011,846,2340,3186,2018
2012,803,3234,4037,2018
2013,1055,4204,5259,2018
2014,1929,4185,6114,2018
2015,3134,4298,7432,2018
2016,4197,5143,9340,2018
2017,7681,5917,13598,2018
2018,19200,14599,33799,2018
