"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-294,657,363,2016
2011,561,1509,2070,2016
2012,1652,2366,4018,2016
2013,3346,3101,6447,2016
2014,4949,3477,8426,2016
2015,7130,3755,10885,2016
2016,16269,10363,26632,2016
2017,31346,20566,51912,2016
2018,48679,34078,82757,2016
2019,68606,49318,117924,2016
2020,87614,66840,154454,2016
2021,109199,84583,193782,2016
2022,132162,103263,235425,2016
2023,157208,123518,280726,2016
2024,183521,142310,325831,2016
2025,209407,159931,369338,2016
2026,234995,178476,413471,2016
2027,259093,195925,455018,2016
2028,281463,211457,492920,2016
2029,305065,225996,531061,2016
2030,328861,240342,569203,2016
2031,353614,254914,608528,2016
2032,378037,268829,646866,2016
2033,403749,282717,686466,2016
2034,429199,295947,725146,2016
2035,451710,309834,761544,2016
2036,475008,322028,797036,2016
2037,496657,335101,831758,2016
2038,518479,347697,866176,2016
2039,537373,360996,898369,2016
2040,556750,372433,929183,2016
2041,576961,384867,961828,2016
2042,594490,397262,991752,2016
2043,611823,408356,1020179,2016
2044,629802,418894,1048696,2016
2045,647119,430750,1077869,2016
2046,662304,440173,1102477,2016
2047,677468,448370,1125838,2016
2048,692216,456416,1148632,2016
2049,706824,463665,1170489,2016
2050,723156,471648,1194804,2016
2051,738498,481028,1219526,2016
2052,753131,490571,1243702,2016
2053,767018,497621,1264639,2016
2054,780982,504838,1285820,2016
2055,795335,512769,1308104,2016
2056,807823,519749,1327572,2016
2057,821706,525326,1347032,2016
2058,834487,531896,1366383,2016
2059,846074,536789,1382863,2016
2060,859159,543346,1402505,2016
2010,-676,1177,501,2017
2011,170,2521,2691,2017
2012,269,3902,4171,2017
2013,1253,5532,6785,2017
2014,2334,6315,8649,2017
2015,2577,7209,9786,2017
2016,3050,8514,11564,2017
2017,11988,15583,27571,2017
2018,23715,26569,50284,2017
2019,39682,39391,79073,2017
2020,56404,55455,111859,2017
2021,75816,72198,148014,2017
2022,96785,90712,187497,2017
2023,119507,109999,229506,2017
2024,144169,127814,271983,2017
2025,168531,144776,313307,2017
2026,192798,162647,355445,2017
2027,215579,180819,396398,2017
2028,237572,196985,434557,2017
2029,260212,211060,471272,2017
2030,281414,224463,505877,2017
2031,303642,238708,542350,2017
2032,327391,250784,578175,2017
2033,351566,262407,613973,2017
