"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-128,170,42,2016
2011,547,336,883,2016
2012,1293,792,2085,2016
2013,1946,1253,3199,2016
2014,2708,1061,3769,2016
2015,3702,807,4509,2016
2016,12048,6878,18926,2016
2017,26617,17256,43873,2016
2018,43482,30983,74465,2016
2019,63300,47004,110304,2016
2020,82447,64890,147337,2016
2021,104186,82655,186841,2016
2022,127291,101769,229060,2016
2023,151781,122456,274237,2016
2024,178251,141657,319908,2016
2025,204948,160446,365394,2016
2026,230829,180007,410836,2016
2027,255823,198482,454305,2016
2028,279430,215319,494749,2016
2029,304038,229540,533578,2016
2030,329123,243949,573072,2016
2031,355902,258465,614367,2016
2032,382744,271646,654390,2016
2033,410624,284932,695556,2016
2034,439188,297936,737124,2016
2035,463605,310796,774401,2016
2036,486930,322540,809470,2016
2037,510159,335854,846013,2016
2038,534668,348280,882948,2016
2039,556374,362136,918510,2016
2040,579586,374004,953590,2016
2041,603564,387273,990837,2016
2042,626132,401171,1027303,2016
2043,648216,414172,1062388,2016
2044,669665,425839,1095504,2016
2045,689617,438630,1128247,2016
2046,707341,449793,1157134,2016
2047,724433,460071,1184504,2016
2048,741406,467654,1209060,2016
2049,757596,474461,1232057,2016
2050,776240,482067,1258307,2016
2051,796434,490997,1287431,2016
2052,814617,499395,1314012,2016
2053,830459,506179,1336638,2016
2054,847507,513506,1361013,2016
2055,863108,521163,1384271,2016
2056,879019,527456,1406475,2016
2057,899248,532469,1431717,2016
2058,918322,539266,1457588,2016
2059,936244,545754,1481998,2016
2060,953769,552886,1506655,2016
2010,-1554,1251,-303,2017
2011,-2054,2424,370,2017
2012,-3590,3725,135,2017
2013,-4189,5297,1108,2017
2014,-4288,5674,1386,2017
2015,-5175,6125,950,2017
2016,-5474,7220,1746,2017
2017,3310,15228,18538,2017
2018,15820,27471,43291,2017
2019,33680,41969,75649,2017
2020,53183,59528,112711,2017
2021,75552,77748,153300,2017
2022,99637,97929,197566,2017
2023,125302,119395,244697,2017
2024,151987,139283,291270,2017
2025,178757,159094,337851,2017
2026,205176,180500,385676,2017
2027,230289,201098,431387,2017
2028,255035,219786,474821,2017
2029,280544,235624,516168,2017
2030,304730,250865,555595,2017
2031,329115,265722,594837,2017
2032,354513,278595,633108,2017
2033,381145,290987,672132,2017
2034,409220,303319,712539,2017
2035,436395,315194,751589,2017
2036,462630,327213,789843,2017
2037,488190,340002,828192,2017
2038,513245,351045,864290,2017
2039,535283,364075,899358,2017
2040,559581,377089,936670,2017
2041,583724,389650,973374,2017
2042,607112,403003,1010115,2017
2043,628726,414789,1043515,2017
2044,651618,425932,1077550,2017
2045,672654,437898,1110552,2017
2046,694561,448781,1143342,2017
2047,716962,458662,1175624,2017
2048,737889,466644,1204533,2017
2049,756612,473888,1230500,2017
2050,777040,481663,1258703,2017
2051,795836,490179,1286015,2017
2052,812768,498871,1311639,2017
2053,828483,506264,1334747,2017
2054,844842,512763,1357605,2017
2055,860457,519658,1380115,2017
2056,875547,527157,1402704,2017
2057,892238,533284,1425522,2017
2058,907315,541153,1448468,2017
2059,921400,547958,1469358,2017
2060,935676,555399,1491075,2017
2010,-390,1157,767,2018
2011,-30,2129,2099,2018
2012,-353,3159,2806,2018
2013,-32,4088,4056,2018
2014,327,3931,4258,2018
2015,917,4418,5335,2018
2016,2076,5802,7878,2018
2017,4075,7486,11561,2018
2018,11974,15280,27254,2018
