"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-883,771,-112,2016
2011,-900,1691,791,2016
2012,-913,2685,1772,2016
2013,-1285,3749,2464,2016
2014,-1501,4251,2750,2016
2015,-1343,4942,3599,2016
2016,6211,11879,18090,2016
2017,19526,22685,42211,2016
2018,35428,36738,72166,2016
2019,54531,52316,106847,2016
2020,72616,70106,142722,2016
2021,93302,87705,181007,2016
2022,115496,107010,222506,2016
2023,139198,128052,267250,2016
2024,164565,147939,312504,2016
2025,190138,166875,357013,2016
2026,214570,186180,400750,2016
2027,237221,204083,441304,2016
2028,258814,220438,479252,2016
2029,281728,235116,516844,2016
2030,304323,250215,554538,2016
2031,328644,265720,594364,2016
2032,354045,279215,633260,2016
2033,380161,292838,672999,2016
2034,407304,306501,713805,2016
2035,431285,319965,751250,2016
2036,454868,332236,787104,2016
2037,476446,345322,821768,2016
2038,498657,358052,856709,2016
2039,517892,370740,888632,2016
2040,538321,382229,920550,2016
2041,559662,395153,954815,2016
2042,578646,408775,987421,2016
2043,598110,421586,1019696,2016
2044,616650,434253,1050903,2016
2045,634471,448237,1082708,2016
2046,650029,459925,1109954,2016
2047,665807,470850,1136657,2016
2048,681876,480134,1162010,2016
2049,696133,488345,1184478,2016
2050,713016,496536,1209552,2016
2051,729427,506036,1235463,2016
2052,744457,515040,1259497,2016
2053,758098,521927,1280025,2016
2054,771272,529048,1300320,2016
2055,783615,536532,1320147,2016
2056,796317,543416,1339733,2016
2057,812830,548609,1361439,2016
2058,827738,555012,1382750,2016
2059,840875,560210,1401085,2016
2060,853078,566509,1419587,2016
2010,-153,1221,1068,2017
2011,735,2325,3060,2017
2012,727,3594,4321,2017
2013,1739,5096,6835,2017
2014,2788,5598,8386,2017
2015,3170,6444,9614,2017
2016,3775,7696,11471,2017
2017,13064,15801,28865,2017
2018,25254,27958,53212,2017
2019,42368,42272,84640,2017
2020,61043,59489,120532,2017
2021,82462,77512,159974,2017
