"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-1123,268,-855,2016
2011,-1671,535,-1136,2016
2012,-2577,1107,-1470,2016
2013,-3620,1709,-1911,2016
2014,-4208,1467,-2741,2016
2015,-3763,683,-3080,2016
2016,997,3953,4950,2016
2017,9660,9665,19325,2016
2018,18150,18380,36530,2016
2019,28856,27506,56362,2016
2020,39034,37848,76882,2016
2021,49925,47616,97541,2016
2022,62737,59062,121799,2016
2023,76907,71116,148023,2016
2024,91514,82168,173682,2016
2025,105683,93208,198891,2016
2026,120591,104738,225329,2016
2027,135106,115591,250697,2016
2028,149103,124590,273693,2016
2029,165995,132335,298330,2016
2030,179437,139967,319404,2016
2031,194517,147528,342045,2016
2032,211228,154696,365924,2016
2033,227791,160945,388736,2016
2034,244510,167017,411527,2016
2035,259855,173725,433580,2016
2036,274690,179912,454602,2016
2037,291139,187068,478207,2016
2038,308775,193597,502372,2016
2039,323445,201732,525177,2016
2040,340033,207409,547442,2016
2041,356875,213889,570764,2016
2042,370859,220901,591760,2016
2043,383915,227497,611412,2016
2044,396889,233980,630869,2016
2045,409562,240831,650393,2016
2046,420101,246135,666236,2016
2047,431240,250367,681607,2016
2048,441600,254271,695871,2016
2049,451585,257015,708600,2016
2050,463500,260705,724205,2016
2051,475290,265124,740414,2016
2052,486827,269428,756255,2016
2053,496686,272460,769146,2016
2054,507816,274784,782600,2016
2055,518702,278011,796713,2016
2056,528717,280924,809641,2016
2057,539676,281846,821522,2016
2058,550318,283179,833497,2016
2059,561383,282784,844167,2016
2060,571147,283109,854256,2016
2010,-1796,809,-987,2017
2011,-2860,1503,-1357,2017
2012,-3805,2385,-1420,2017
2013,-4311,2856,-1455,2017
2014,-5295,2613,-2682,2017
2015,-5837,1889,-3948,2017
2016,-6271,2545,-3726,2017
2017,-1678,6291,4613,2017
2018,4947,13548,18495,2017
2019,13770,21961,35731,2017
2020,22598,31956,54554,2017
2021,32157,41796,73953,2017
2022,44063,53076,97139,2017
2023,56318,65349,121667,2017
2024,68836,76878,145714,2017
2025,82577,88048,170625,2017
2026,95824,100002,195826,2017
