"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-1522,-223,-1745,2016
2011,-2200,-347,-2547,2016
2012,-3156,59,-3097,2016
2013,-4147,241,-3906,2016
2014,-4384,-82,-4466,2016
2015,-4458,-518,-4976,2016
2016,-3000,687,-2313,2016
2017,-19,2755,2736,2016
2018,2401,5781,8182,2016
2019,5917,9400,15317,2016
2020,9111,13831,22942,2016
2021,11829,18035,29864,2016
2022,15288,23144,38432,2016
2023,19022,27952,46974,2016
2024,23130,33113,56243,2016
2025,29110,38276,67386,2016
2026,35443,44308,79751,2016
2027,40026,50484,90510,2016
2028,45005,55408,100413,2016
2029,51596,60043,111639,2016
2030,56856,64190,121046,2016
2031,64118,69497,133615,2016
2032,70160,74456,144616,2016
2033,78462,78502,156964,2016
2034,88394,81755,170149,2016
2035,97668,85085,182753,2016
2036,106485,87463,193948,2016
2037,116867,90446,207313,2016
2038,127519,93184,220703,2016
2039,134542,96917,231459,2016
2040,143409,98721,242130,2016
2041,153370,101372,254742,2016
2042,160312,104570,264882,2016
2043,167638,107329,274967,2016
2044,174417,108563,282980,2016
2045,181943,109827,291770,2016
2046,187480,111295,298775,2016
2047,193789,112217,306006,2016
2048,200390,112147,312537,2016
2049,207425,112442,319867,2016
2050,215550,112786,328336,2016
2051,222494,114413,336907,2016
2052,229604,114948,344552,2016
2053,235417,115047,350464,2016
2054,241389,115295,356684,2016
2055,246948,116647,363595,2016
2056,251547,116713,368260,2016
2057,257158,115157,372315,2016
2058,260758,114035,374793,2016
2059,264742,111685,376427,2016
2060,269122,109852,378974,2016
2010,-1358,-49,-1407,2017
2011,-1598,196,-1402,2017
2012,-2247,450,-1797,2017
2013,-2548,533,-2015,2017
2014,-2659,178,-2481,2017
2015,-2895,-612,-3507,2017
2016,-2945,-857,-3802,2017
2017,-1617,296,-1321,2017
2018,-385,2107,1722,2017
2019,1513,5126,6639,2017
2020,2951,9148,12099,2017
2021,4658,13140,17798,2017
2022,7501,18253,25754,2017
2023,11319,23577,34896,2017
2024,16144,28228,44372,2017
2025,22031,32532,54563,2017
