"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,901,-188,713,2016
2011,1987,-225,1762,2016
2012,2428,-240,2188,2016
2013,3087,-338,2749,2016
2014,5009,-563,4446,2016
2015,6877,-904,5973,2016
2016,20188,6813,27001,2016
2017,41792,19905,61697,2016
2018,66273,37393,103666,2016
2019,94904,58173,153077,2016
2020,126019,82681,208700,2016
2021,160397,107464,267861,2016
2022,195504,133913,329417,2016
2023,232040,162931,394971,2016
2024,271449,190493,461942,2016
2025,309669,216692,526361,2016
2026,345463,244350,589813,2016
2027,381093,270736,651829,2016
2028,415787,294910,710697,2016
2029,449902,316668,766570,2016
2030,482840,338370,821210,2016
2031,517707,359688,877395,2016
2032,553853,379154,933007,2016
2033,590513,396419,986932,2016
2034,628109,413235,1041344,2016
2035,662839,430968,1093807,2016
2036,696719,447219,1143938,2016
2037,733885,464241,1198126,2016
2038,770495,480865,1251360,2016
2039,805180,497662,1302842,2016
2040,839818,512720,1352538,2016
2041,874319,529896,1404215,2016
2042,905842,547408,1453250,2016
2043,937170,564234,1501404,2016
2044,967851,580536,1548387,2016
2045,996532,597881,1594413,2016
2046,1024508,612506,1637014,2016
2047,1052445,626162,1678607,2016
2048,1078330,638343,1716673,2016
2049,1102558,648832,1751390,2016
2050,1127921,659715,1787636,2016
2051,1155189,670623,1825812,2016
2052,1179580,680794,1860374,2016
2053,1201486,689059,1890545,2016
2054,1224053,697111,1921164,2016
2055,1245426,706835,1952261,2016
2056,1266121,716533,1982654,2016
2057,1288741,724859,2013600,2016
2058,1311809,734302,2046111,2016
2059,1334192,742655,2076847,2016
2060,1357404,752795,2110199,2016
2010,-1310,1111,-199,2017
2011,-2437,2503,66,2017
2012,-3614,3585,-29,2017
2013,-4322,5129,807,2017
2014,-3705,5383,1678,2017
2015,-3428,5501,2073,2017
2016,-3924,6476,2552,2017
2017,7448,15039,22487,2017
2018,24150,29623,53773,2017
2019,46904,47048,93952,2017
2020,73351,68456,141807,2017
2021,102493,90465,192958,2017
2022,133941,115093,249034,2017
2023,168053,141167,309220,2017
2024,205443,166553,371996,2017
2025,242146,190837,432983,2017
2026,277748,216008,493756,2017
2027,313237,240431,553668,2017
2028,348715,262000,610715,2017
2029,384135,282194,666329,2017
2030,419049,302538,721587,2017
2031,454726,322589,777315,2017
2032,490920,340069,830989,2017
2033,528647,355909,884556,2017
2034,565330,371343,936673,2017
2035,601117,386153,987270,2017
2036,635777,400810,1036587,2017
2037,672115,415188,1087303,2017
2038,706935,429287,1136222,2017
2039,738192,444634,1182826,2017
2040,770996,458049,1229045,2017
2041,803194,472497,1275691,2017
2042,834618,486019,1320637,2017
2043,863753,499372,1363125,2017
2044,892504,511993,1404497,2017
2045,919555,526676,1446231,2017
2046,947145,540414,1487559,2017
2047,974301,553355,1527656,2017
2048,1000079,565994,1566073,2017
2049,1024881,578470,1603351,2017
2050,1050844,590321,1641165,2017
2051,1075222,602387,1677609,2017
2052,1098990,613715,1712705,2017
2053,1124200,622735,1746935,2017
2054,1149876,630544,1780420,2017
2055,1174705,639282,1813987,2017
2056,1198003,646949,1844952,2017
2057,1221561,653600,1875161,2017
2058,1245639,661714,1907353,2017
2059,1266317,668106,1934423,2017
2060,1289564,675014,1964578,2017
2010,-59,1658,1599,2018
2011,739,2777,3516,2018
2012,1127,3441,4568,2018
2013,2595,4423,7018,2018
2014,3905,4635,8540,2018
2015,5651,5600,11251,2018
2016,7463,7104,14567,2018
2017,10732,8625,19357,2018
2018,21894,18429,40323,2018
2019,39203,32260,71463,2018
2020,59899,50704,110603,2018
2021,84786,71729,156515,2018
2022,113263,96218,209481,2018
2023,143916,122711,266627,2018
2024,176717,149284,326001,2018
2025,211723,175819,387542,2018
2026,245664,202272,447936,2018
2027,280313,228047,508360,2018
2028,313080,252127,565207,2018
2029,347397,275127,622524,2018
2030,381857,296729,678586,2018
2031,418908,317518,736426,2018
2032,455841,336121,791962,2018
2033,493481,353865,847346,2018
2034,531494,370841,902335,2018
2035,568353,388724,957077,2018
2036,603870,405686,1009556,2018
2037,641265,423025,1064290,2018
2038,677849,439975,1117824,2018
2039,711710,456763,1168473,2018
2040,745297,471298,1216595,2018
2041,780065,486811,1266876,2018
2042,813124,502931,1316055,2018
2043,844872,517309,1362181,2018
2044,875311,531151,1406462,2018
2045,904322,546196,1450518,2018
2046,932522,559544,1492066,2018
2047,959219,571748,1530967,2018
2048,985127,582910,1568037,2018
2049,1011156,593241,1604397,2018
2050,1040267,603437,1643704,2018
2051,1066398,613706,1680104,2018
2052,1090445,624296,1714741,2018
2053,1112645,632959,1745604,2018
2054,1135992,641051,1777043,2018
2055,1159281,649578,1808859,2018
2056,1181683,657955,1839638,2018
2057,1204332,664315,1868647,2018
