"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-889,341,-548,2016
2011,-1425,981,-444,2016
2012,-2175,1777,-398,2016
2013,-2797,2375,-422,2016
2014,-2878,2479,-399,2016
2015,-3253,2466,-787,2016
2016,-1542,4271,2729,2016
2017,2001,7064,9065,2016
2018,5219,11262,16481,2016
2019,9958,16205,26163,2016
2020,14254,21728,35982,2016
2021,18250,26943,45193,2016
2022,23350,33009,56359,2016
2023,29076,39069,68145,2016
2024,34704,45966,80670,2016
2025,42501,52596,95097,2016
2026,50594,59919,110513,2016
2027,57281,67167,124448,2016
2028,64717,72552,137269,2016
2029,73053,77236,150289,2016
2030,80147,82201,162348,2016
2031,89077,87692,176769,2016
2032,97937,93003,190940,2016
2033,107750,97600,205350,2016
2034,118860,101792,220652,2016
2035,129022,106160,235182,2016
2036,138738,110385,249123,2016
2037,150357,114986,265343,2016
2038,161357,119855,281212,2016
2039,171049,125729,296778,2016
2040,183574,129403,312977,2016
2041,197829,133700,331529,2016
2042,208290,138397,346687,2016
2043,218487,142987,361474,2016
2044,227907,146716,374623,2016
2045,237450,149815,387265,2016
2046,245670,151738,397408,2016
2047,252741,151821,404562,2016
2048,261103,150514,411617,2016
2049,269790,150171,419961,2016
2050,278164,148655,426819,2016
2051,286040,148376,434416,2016
2052,294149,147631,441780,2016
2053,300499,146106,446605,2016
2054,308147,145039,453186,2016
2055,314755,144694,459449,2016
2056,320995,144256,465251,2016
2057,329463,142635,472098,2016
2058,335192,142704,477896,2016
2059,340413,141068,481481,2016
2060,345405,141184,486589,2016
2010,-1302,337,-965,2017
2011,-2431,944,-1487,2017
2012,-4064,1816,-2248,2017
2013,-5142,2425,-2717,2017
2014,-5791,2470,-3321,2017
2015,-6795,1946,-4849,2017
2016,-7507,1818,-5689,2017
2017,-6509,2791,-3718,2017
2018,-4783,5052,269,2017
2019,-2211,8338,6127,2017
2020,66,12773,12839,2017
2021,2646,17884,20530,2017
2022,6451,23662,30113,2017
2023,11159,29647,40806,2017
2024,16810,34799,51609,2017
2025,23982,40041,64023,2017
2026,30242,45788,76030,2017
2027,36345,51118,87463,2017
2028,42247,55731,97978,2017
2029,49187,59351,108538,2017
2030,55586,63110,118696,2017
2031,62669,66438,129107,2017
2032,70577,69025,139602,2017
2033,78777,71031,149808,2017
2034,88727,72353,161080,2017
2035,98388,74318,172706,2017
2036,107663,76233,183896,2017
2037,117470,78789,196259,2017
2038,127879,80822,208701,2017
2039,136857,84370,221227,2017
2040,146451,85390,231841,2017
2041,157834,87966,245800,2017
2042,167427,92513,259940,2017
2043,177552,97448,275000,2017
2044,187870,101106,288976,2017
2045,197398,105768,303166,2017
2046,206068,109273,315341,2017
2047,214999,111940,326939,2017
