"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-1193,239,-954,2016
2011,-1289,496,-793,2016
2012,-1522,504,-1018,2016
2013,-1886,900,-986,2016
2014,-1029,465,-564,2016
2015,545,6,551,2016
2016,8226,4891,13117,2016
2017,20233,12579,32812,2016
2018,33817,23374,57191,2016
2019,50675,36356,87031,2016
2020,66457,51062,117519,2016
2021,84429,65504,149933,2016
2022,103546,81449,184995,2016
2023,125016,98145,223161,2016
2024,147515,114393,261908,2016
2025,168413,129779,298192,2016
2026,188889,145860,334749,2016
2027,209089,161182,370271,2016
2028,228381,175020,403401,2016
2029,248393,187482,435875,2016
2030,267693,200176,467869,2016
2031,288208,212500,500708,2016
2032,309251,223167,532418,2016
2033,330602,233381,563983,2016
2034,352520,242801,595321,2016
2035,373321,252477,625798,2016
2036,392577,261362,653939,2016
2037,414462,270823,685285,2016
2038,437013,280154,717167,2016
2039,457525,289599,747124,2016
2040,479162,297846,777008,2016
2041,501985,306390,808375,2016
2042,523047,314411,837458,2016
2043,544620,322558,867178,2016
2044,567867,331020,898887,2016
2045,587928,340757,928685,2016
2046,604951,349220,954171,2016
2047,623312,357368,980680,2016
2048,641739,364041,1005780,2016
2049,658938,369611,1028549,2016
2050,677042,375455,1052497,2016
2051,694779,382056,1076835,2016
2052,709490,389887,1099377,2016
2053,721036,394891,1115927,2016
2054,734853,399169,1134022,2016
2055,747968,405339,1153307,2016
2056,760344,411270,1171614,2016
2057,775035,415717,1190752,2016
2058,789034,419943,1208977,2016
2059,801288,423422,1224710,2016
2060,812549,428292,1240841,2016
2010,-946,1142,196,2017
2011,-1046,2392,1346,2017
2012,-1499,3839,2340,2017
2013,-975,5464,4489,2017
2014,-605,6494,5889,2017
2015,-325,7141,6816,2017
2016,334,8616,8950,2017
2017,7511,13977,21488,2017
2018,17015,23645,40660,2017
2019,30048,34678,64726,2017
2020,43606,47793,91399,2017
2021,59661,60812,120473,2017
2022,76885,75484,152369,2017
2023,95862,91022,186884,2017
