"year","deaths_avoided_males","deaths_avoided_females","deaths_avoided_both","policy_year"
2010,-178,1090,912,2016
2011,-172,2241,2069,2016
2012,-640,3896,3256,2016
2013,-1187,5418,4231,2016
2014,-1783,6101,4318,2016
2015,-1701,6362,4661,2016
2016,2598,10042,12640,2016
2017,10053,15229,25282,2016
2018,17935,22880,40815,2016
2019,27478,31233,58711,2016
2020,36017,40922,76939,2016
2021,45615,50260,95875,2016
2022,57125,60917,118042,2016
2023,69652,71156,140808,2016
2024,82559,81330,163889,2016
2025,96363,90501,186864,2016
2026,110140,100429,210569,2016
2027,123568,109731,233299,2016
2028,136615,117678,254293,2016
2029,151160,124301,275461,2016
2030,163658,131454,295112,2016
2031,176449,138848,315297,2016
2032,191132,145571,336703,2016
2033,206225,151103,357328,2016
2034,222001,156327,378328,2016
2035,236148,162036,398184,2016
2036,251152,166748,417900,2016
2037,268021,172924,440945,2016
2038,283327,179365,462692,2016
2039,296722,186525,483247,2016
2040,311777,191721,503498,2016
2041,327155,197973,525128,2016
2042,340445,204584,545029,2016
2043,352110,210719,562829,2016
2044,363527,215948,579475,2016
2045,374298,221292,595590,2016
2046,386921,226678,613599,2016
2047,399694,230418,630112,2016
2048,410982,232249,643231,2016
2049,421931,233704,655635,2016
2050,434542,234925,669467,2016
2051,445924,237635,683559,2016
2052,455408,240109,695517,2016
2053,463504,240443,703947,2016
2054,472165,240041,712206,2016
2055,479936,241944,721880,2016
2056,487066,243887,730953,2016
2057,495497,245096,740593,2016
2058,502466,246357,748823,2016
2059,506394,246192,752586,2016
2060,510480,247306,757786,2016
2010,-1537,406,-1131,2017
2011,-2306,791,-1515,2017
2012,-3535,1416,-2119,2017
2013,-4952,1862,-3090,2017
2014,-6391,1728,-4663,2017
2015,-6849,1301,-5548,2017
2016,-7176,2438,-4738,2017
2017,-3494,5737,2243,2017
2018,1318,12252,13570,2017
2019,8111,19176,27287,2017
2020,13988,27732,41720,2017
2021,20830,36325,57155,2017
2022,29438,45631,75069,2017
2023,38018,55454,93472,2017
2024,47261,63640,110901,2017
2025,57148,71108,128256,2017
2026,67202,78838,146040,2017
2027,78155,86154,164309,2017
2028,88935,92686,181621,2017
2029,101994,98029,200023,2017
2030,113889,103014,216903,2017
2031,125857,107840,233697,2017
2032,139662,111832,251494,2017
2033,154762,115529,270291,2017
2034,170363,119373,289736,2017
2035,185211,123968,309179,2017
2036,199893,128727,328620,2017
2037,215472,134135,349607,2017
2038,232539,138725,371264,2017
2039,247178,144518,391696,2017
2040,261329,147437,408766,2017
2041,278490,151329,429819,2017
2042,293420,156759,450179,2017
2043,305984,162016,468000,2017
2044,319842,165581,485423,2017
2045,332542,169042,501584,2017
2046,346611,170732,517343,2017
2047,359277,171732,531009,2017
2048,369763,171668,541431,2017
2049,380347,173296,553643,2017
2050,391115,175733,566848,2017
2051,401612,179376,580988,2017
2052,411361,182068,593429,2017
2053,417821,183692,601513,2017
2054,426068,184354,610422,2017
