"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_29",26367260,26137808,26140320,26038444,26566240,26540450,26632774,27296076,28154984,29500100,29803526,29558672,29106122,28962960,28670762,28336134,28328442,28427092,28565208,29105724,28847742,28354010,28571776,28877818,28944128,29137616,29459078,29449360,28780284,28888884,28997570,28930176,28978138,29237134,29458070,29676178,29890008,30092832,30283868,30456402,30603284,30726606,30834048,30930110,31017604,31096130,31163216,31219844,31271386,31320760,31369548
"pop_30",26149324,26533778,26306424,26310794,25733160,26730380,26707736,26802770,27466654,28326962,29672032,29977614,29734356,29284432,29143546,28853756,28521698,28516218,28616826,28756932,29299276,29043562,28552124,28771636,29079504,29147506,29342770,29665676,29657580,28990522,29100468,29210464,29144480,29193684,29454096,29676182,29895420,30110462,30314240,30506410,30679922,30827762,30952020,31060264,31157218,31245540,31324776,31392606,31449824,31502016,31551928
"pop_31",25085460,26305522,26692176,26467462,26132028,25880936,26877832,26857920,26954744,27618958,28480276,29825784,30132672,29891200,29444242,29305428,29017890,28688174,28684712,28787104,28928996,29472952,29219334,28730010,28951032,29260538,29330232,29526986,29851272,29844500,29179376,29290464,29401594,29336996,29387292,29648856,29872030,30092300,30308216,30512982,30706074,30880374,31029170,31154176,31263180,31360978,31449878,31529778,31598174,31655946,31708704
"pop_32",24411908,25230024,26451764,26840900,26125684,26258154,26011094,27007504,26989868,27088034,27752196,28614584,29960346,30268618,30029220,29584978,29448074,29162580,28835022,28833322,28937348,29080862,29626254,29374614,28887206,29109540,29420626,29491770,29689992,30015346,30009828,29346456,29458630,29570828,29507284,29558542,29821198,30045260,30266348,30483162,30688794,30882568,31057740,31207242,31332958,31442622,31541060,31630478,31710984,31779834,31838070
"pop_33",23887256,24542320,25362606,26586134,25846726,26237898,26369796,26125968,27121842,27105994,27205354,27869496,28732652,30078790,30388952,30151512,29709840,29574658,29291068,28965450,28965396,29070828,29215826,29762472,29512528,29027056,29250658,29563192,29635614,29835112,30161478,30157154,29495354,29608534,29721600,29659042,29711186,29974776,30199604,30421462,30639096,30845418,31039884,31215768,31365910,31492168,31602484,31701358,31791300,31872274,31941514
"pop_34",23560170,24002906,24660306,25482742,26362280,25946614,26339832,26470938,26229866,27224858,27210678,27311150,27975324,28839490,30186436,30498184,30262632,29823368,29689812,29408020,29084294,29085688,29192484,29338824,29886616,29638450,29154742,29379560,29693376,29767062,29967722,30294972,30291738,29631418,29745496,29859342,29797748,29850616,30115012,30340608,30563136,30781440,30988336,31183554,31359936,31510586,31637482,31748276,31847564,31937964,32019348
"pop_35",23899806,23660484,24105772,24765394,24735242,26449706,26038822,26433318,26563726,26324858,27318922,27306076,27407938,28072434,28938114,30285580,30598948,30365194,29928290,29796228,29516102,29194214,29197120,29305046,29452668,30001482,29755086,29273118,29499112,29814204,29888994,30090678,30418740,30416574,29757648,29872554,29987116,29926344,29980000,30245132,30471364,30694588,30913414,31120926,31316668,31493512,31644780,31772084,31883272,31983008,32073844
"pop_36",23402232,23984550,23748494,24196068,24248392,24818704,26530684,26123894,26519316,26649176,26412234,27405060,27394052,27497198,28162636,29029534,30377542,30692396,30460488,30025806,29895118,29616698,29296548,29300776,29409812,29558646,30108552,29863778,29383590,29610658,29926868,30002712,30205460,30534340,30533070,29875542,29991194,30106416,30046510,30100786,30366654,30593506,30817300,31036630,31244650,31440840,31618280,31769904,31897594,32009322,32109454
"pop_37",23861480,23476010,24060318,23827342,24001708,24323736,24896010,26605332,26202270,26598418,26727728,26492270,27484712,27475600,27580390,28246522,29114666,30463024,30779412,30549220,30116746,29987390,29710480,29392074,29397648,29507834,29657856,30208768,29965584,29487100,29715176,30032534,30109464,30313210,30642756,30642454,29986308,30102550,30218466,30159330,30214256,30480802,30708198,30932508,31152370,31360812,31557582,31735344,31887350,32015574,32127656
"pop_38",24859062,23925268,23543082,24129188,23297846,24071772,24394150,24967888,26674738,26274770,26671670,26799938,26566822,27559198,27552096,27658378,28325252,29194530,30543174,30861002,30632434,30202160,30074062,29798650,29482060,29488946,29600248,29751556,30303258,30061676,29584870,29813974,30132480,30210364,30415114,30745364,30745936,30091150,30207982,30324560,30266188,30321756,30588850,30816858,31041682,31261944,31470948,31668028,31846252,31998634,32127256
"pop_39",26167520,24910882,23981190,23602154,24011278,23362494,24136348,24458612,25033508,26737950,26340668,26737680,26865924,26635354,27627874,27622664,27730480,28397920,29268220,30617072,30936198,30709330,30281148,30154370,29880510,29565624,29573824,29686324,29838686,30391240,30151220,29676158,29906208,30225766,30304572,30510334,30841202,30842610,30189176,30306578,30423810,30366128,30422272,30689990,30918542,31143798,31364546,31573878,31771444,31950082,32102886
"pop_40",26617478,26205946,24954050,24028386,23265314,24064426,23419004,24192656,24514642,25090302,26792392,26397110,26794888,26923766,26695706,27688218,27684804,27794068,28461990,29333250,30682082,31002544,30777246,30351208,30225632,29953190,29640140,29649660,29763254,29916782,30470054,30231626,29758242,29989274,30309810,30389558,30596202,30927676,30929818,30277740,30395734,30513688,30456642,30513394,30781608,31010616,31236352,31457584,31667270,31865288,32044248
"pop_41",25302858,26643938,26235666,24988552,23623222,23308974,24107038,23464694,24238040,24559684,25135998,26834786,26442514,26841054,26970874,26745174,27737578,27735898,27846528,28514860,29386980,30735580,31057390,30833560,30409698,30285260,30014412,29703134,29713868,29828496,29983098,30537116,30300234,29828574,30060478,30381880,30462644,30670054,31002102,31004982,30354296,30472934,30591460,30535072,30592330,30861102,31090582,31316728,31538300,31748424,31946806
"pop_42",24672796,25322620,26663204,26258150,24691684,23652762,23342042,24138688,23499412,24272432,24593682,25169740,26866294,26476956,26876556,27007068,26783664,27775888,27775910,27887820,28556542,29429348,30777692,31100596,30878380,30456544,30333430,30064140,29754540,29766496,29882132,30037800,30592474,30357196,29887072,30119858,30442206,30523870,30732038,31064634,31068244,30419034,30538144,30657214,30601604,30659368,30928696,31158560,31385062,31607082,31817602
"pop_43",24666216,24685706,25336412,26676280,26115430,24710490,23673846,23366396,24161324,23525008,24297770,24617758,25194444,26889024,26502572,26903094,27034320,26813272,27805130,27806822,27920020,28588990,29462382,30810360,31134344,30913620,30494074,30372228,30104436,29796576,29809690,29926422,30083120,30638386,30404586,29936196,30169846,30493118,30575534,30784556,31117618,31122038,30474174,30593808,30713574,30658542,30716830,30986644,31216940,31443982,31666278
"pop_44",25323040,24670790,24692562,25344018,26445656,26122968,24722650,23688246,23383894,24177036,23543540,24315100,24635008,25212426,26904992,26521532,26922908,27054836,26836170,27827498,27830906,27945304,28614508,29488418,30835932,31160892,30941870,30524610,30403968,30137852,29831726,29846096,29963842,30121582,30677424,30445086,29978580,30213048,30537114,30620440,30830252,31163804,31168970,30522540,30642752,30763024,30708674,30767538,31037882,31268614,31496068
"pop_45",26912642,25316984,24668964,24692962,25072246,26443276,26123790,24728352,23696402,23394900,24186346,23554624,24326060,24646308,25224400,26914748,26534344,26936568,27069272,26852898,27843676,27848838,27964458,28633786,29508136,30854970,31181162,30963736,30548874,30429572,30165084,29860748,29876424,29995250,30154036,30710368,30479692,30015020,30250332,30575282,30659512,30870108,31204122,31209990,30565130,30685846,30806680,30753056,30812404,31083330,31314438
"pop_46",27277274,26891888,25303268,24659566,24550098,25065794,26433886,26117254,24726908,23697846,23398970,24187828,23559192,24330292,24651216,25229998,26917876,26540610,26943654,27077052,26863084,27853340,27860130,27977050,28646402,29521068,30867324,31194592,30978932,30566532,30448522,30185804,29883392,29900270,30020236,30180142,30736942,30507894,30045156,30281372,30607220,30692344,30903730,31238138,31244922,30601622,30722902,30844348,30791364,30851286,31122734
