"year","age","cohort","males_baseline","females_baseline","males_policy","females_policy","both_baseline","both_policy","policy_year"
2010,"0","2010",0,0,0,0,0,0,2016
2010,"10","2000",0.0036,0.0011,0.0034,0.0012,0.0024,0.0023,2016
2010,"20","1990",0.2267,0.1769,0.2269,0.1759,0.2024,0.202,2016
2010,"30","1980",0.3359,0.2533,0.3346,0.2525,0.295,0.294,2016
2010,"40","1970",0.2594,0.2079,0.2592,0.2085,0.2338,0.234,2016
2011,"1","2010",0,0,0,0,0,0,2016
2011,"11","2000",0.007,0.0024,0.0067,0.0024,0.0047,0.0046,2016
2011,"21","1990",0.2383,0.1838,0.2389,0.1829,0.2116,0.2115,2016
2011,"31","1980",0.3291,0.2482,0.3284,0.2468,0.289,0.288,2016
2011,"41","1970",0.2517,0.2029,0.2516,0.2031,0.2274,0.2275,2016
2012,"2","2010",0,0,0,0,0,0,2016
2012,"12","2000",0.0133,0.0055,0.0133,0.0055,0.0095,0.0095,2016
2012,"22","1990",0.2471,0.1867,0.2475,0.1861,0.2175,0.2174,2016
2012,"32","1980",0.3214,0.2429,0.3218,0.2415,0.2825,0.282,2016
2012,"42","1970",0.2447,0.1977,0.2447,0.1981,0.2213,0.2215,2016
2013,"3","2010",0,0,0,0,0,0,2016
2013,"13","2000",0.0241,0.0117,0.0242,0.0121,0.0181,0.0183,2016
2013,"23","1990",0.2528,0.1889,0.2538,0.189,0.2215,0.222,2016
2013,"33","1980",0.3143,0.2376,0.3142,0.2366,0.2763,0.2757,2016
2013,"43","1970",0.2378,0.192,0.2373,0.1931,0.215,0.2152,2016
2014,"4","2010",0,0,0,0,0,0,2016
2014,"14","2000",0.0427,0.0239,0.0427,0.0242,0.0335,0.0337,2016
2014,"24","1990",0.2555,0.1906,0.2566,0.1904,0.2237,0.2242,2016
2014,"34","1980",0.3068,0.2319,0.3066,0.2312,0.2696,0.2692,2016
2014,"44","1970",0.231,0.1867,0.2306,0.1876,0.2088,0.209,2016
2015,"5","2010",0,0,0,0,0,0,2016
2015,"15","2000",0.0671,0.0403,0.067,0.041,0.054,0.0543,2016
2015,"25","1990",0.2566,0.1906,0.2579,0.1906,0.2242,0.2249,2016
