"year","age","cohort","males_baseline","females_baseline","males_policy","females_policy","both_baseline","both_policy","policy_year"
2010,"0","2010",0,0,0,0,0,0,2016
2010,"10","2000",0.0036,0.0011,0.0034,0.0012,0.0024,0.0023,2016
2010,"20","1990",0.2267,0.1769,0.2263,0.176,0.2024,0.2017,2016
2010,"30","1980",0.3359,0.2533,0.3347,0.2529,0.295,0.2942,2016
2010,"40","1970",0.2594,0.2079,0.2601,0.2073,0.2338,0.2339,2016
2011,"1","2010",0,0,0,0,0,0,2016
2011,"11","2000",0.007,0.0024,0.0067,0.0023,0.0047,0.0046,2016
2011,"21","1990",0.2383,0.1838,0.238,0.1831,0.2116,0.2111,2016
2011,"31","1980",0.3291,0.2482,0.3285,0.2474,0.289,0.2883,2016
2011,"41","1970",0.2517,0.2029,0.2528,0.2016,0.2274,0.2273,2016
2012,"2","2010",0,0,0,0,0,0,2016
2012,"12","2000",0.0133,0.0055,0.0133,0.0054,0.0095,0.0094,2016
2012,"22","1990",0.2471,0.1867,0.2468,0.186,0.2175,0.217,2016
2012,"32","1980",0.3214,0.2429,0.3218,0.2421,0.2825,0.2823,2016
2012,"42","1970",0.2447,0.1977,0.2449,0.1967,0.2213,0.2209,2016
2013,"3","2010",0,0,0,0,0,0,2016
2013,"13","2000",0.0241,0.0117,0.024,0.0119,0.0181,0.0181,2016
2013,"23","1990",0.2528,0.1889,0.2533,0.1884,0.2215,0.2215,2016
2013,"33","1980",0.3143,0.2376,0.314,0.2366,0.2763,0.2756,2016
2013,"43","1970",0.2378,0.192,0.2378,0.1911,0.215,0.2145,2016
2014,"4","2010",0,0,0,0,0,0,2016
2014,"14","2000",0.0427,0.0239,0.0425,0.024,0.0335,0.0334,2016
2014,"24","1990",0.2555,0.1906,0.2565,0.1899,0.2237,0.2239,2016
2014,"34","1980",0.3068,0.2319,0.3072,0.2312,0.2696,0.2694,2016
2014,"44","1970",0.231,0.1867,0.2307,0.1855,0.2088,0.208,2016
2015,"5","2010",0,0,0,0,0,0,2016
2015,"15","2000",0.0671,0.0403,0.0668,0.0407,0.054,0.054,2016
2015,"25","1990",0.2566,0.1906,0.2577,0.1901,0.2242,0.2246,2016
