"year","age","cohort","males_baseline","females_baseline","males_policy","females_policy","both_baseline","both_policy","policy_year"
2010,"0","2010",0,0,0,0,0,0,2016
2010,"10","2000",0.0036,0.0011,0.0032,0.0011,0.0024,0.0022,2016
2010,"20","1990",0.2267,0.1769,0.227,0.1757,0.2024,0.202,2016
2010,"30","1980",0.3359,0.2533,0.3357,0.2513,0.295,0.2939,2016
2010,"40","1970",0.2594,0.2079,0.2613,0.208,0.2338,0.2348,2016
2011,"1","2010",0,0,0,0,0,0,2016
2011,"11","2000",0.007,0.0024,0.0064,0.0023,0.0047,0.0044,2016
2011,"21","1990",0.2383,0.1838,0.2386,0.1821,0.2116,0.211,2016
2011,"31","1980",0.3291,0.2482,0.3284,0.2462,0.289,0.2877,2016
2011,"41","1970",0.2517,0.2029,0.254,0.2023,0.2274,0.2283,2016
2012,"2","2010",0,0,0,0,0,0,2016
2012,"12","2000",0.0133,0.0055,0.0132,0.0054,0.0095,0.0094,2016
2012,"22","1990",0.2471,0.1867,0.2467,0.185,0.2175,0.2165,2016
2012,"32","1980",0.3214,0.2429,0.3214,0.2413,0.2825,0.2817,2016
2012,"42","1970",0.2447,0.1977,0.2462,0.1973,0.2213,0.2219,2016
2013,"3","2010",0,0,0,0,0,0,2016
2013,"13","2000",0.0241,0.0117,0.0245,0.0117,0.0181,0.0182,2016
2013,"23","1990",0.2528,0.1889,0.2532,0.1871,0.2215,0.2208,2016
2013,"33","1980",0.3143,0.2376,0.3139,0.2358,0.2763,0.2752,2016
2013,"43","1970",0.2378,0.192,0.2386,0.1913,0.215,0.2151,2016
2014,"4","2010",0,0,0,0,0,0,2016
2014,"14","2000",0.0427,0.0239,0.0422,0.0235,0.0335,0.0331,2016
2014,"24","1990",0.2555,0.1906,0.256,0.1888,0.2237,0.2231,2016
2014,"34","1980",0.3068,0.2319,0.306,0.2303,0.2696,0.2684,2016
2014,"44","1970",0.231,0.1867,0.2314,0.1861,0.2088,0.2087,2016
2015,"5","2010",0,0,0,0,0,0,2016
2015,"15","2000",0.0671,0.0403,0.0663,0.0407,0.054,0.0538,2016
2015,"25","1990",0.2566,0.1906,0.2571,0.1888,0.2242,0.2237,2016
2015,"35","1980",0.2994,0.2263,0.2984,0.226,0.263,0.2624,2016
2015,"45","1970",0.224,0.1812,0.2244,0.1805,0.2025,0.2024,2016
2016,"6","2010",0,0,0,0,0,0,2016
2016,"16","2000",0.0965,0.0618,0.0926,0.0591,0.0796,0.0763,2016
2016,"26","1990",0.2569,0.1897,0.2535,0.1859,0.224,0.2204,2016
2016,"36","1980",0.2914,0.2206,0.2855,0.2177,0.2562,0.2518,2016
2016,"46","1970",0.218,0.1756,0.2138,0.1727,0.1967,0.1931,2016
2017,"7","2010",0,0,0,0,0,0,2016
2017,"17","2000",0.1238,0.0827,0.1172,0.0779,0.1038,0.098,2016
2017,"27","1990",0.2553,0.189,0.2478,0.183,0.2228,0.216,2016
2017,"37","1980",0.2839,0.2156,0.2734,0.21,0.25,0.2419,2016
2017,"47","1970",0.2109,0.1701,0.204,0.166,0.1904,0.1849,2016
2018,"8","2010",5e-04,1e-04,4e-04,1e-04,3e-04,3e-04,2016
2018,"18","2000",0.1491,0.1018,0.1392,0.0954,0.126,0.1178,2016
2018,"28","1990",0.2525,0.1874,0.2426,0.1799,0.2205,0.2118,2016
2018,"38","1980",0.2761,0.21,0.2627,0.2031,0.2432,0.233,2016
2018,"48","1970",0.2044,0.1649,0.1959,0.159,0.1845,0.1773,2016
2019,"9","2010",0.0013,3e-04,0.0012,3e-04,8e-04,7e-04,2016
2019,"19","2000",0.1691,0.1164,0.1566,0.1084,0.1434,0.1331,2016
2019,"29","1990",0.249,0.1851,0.2367,0.1765,0.2176,0.2072,2016
2019,"39","1980",0.2681,0.2044,0.2523,0.196,0.2364,0.2243,2016
2019,"49","1970",0.1981,0.1603,0.1883,0.1531,0.1791,0.1706,2016
2020,"10","2010",0.0033,9e-04,0.0027,9e-04,0.0021,0.0018,2016
2020,"20","2000",0.1838,0.1274,0.1705,0.1183,0.1563,0.145,2016
2020,"30","1990",0.2458,0.1829,0.231,0.1726,0.2149,0.2023,2016
2020,"40","1980",0.2601,0.1992,0.2432,0.19,0.2298,0.2167,2016
2020,"50","1970",0.192,0.1551,0.1817,0.1468,0.1734,0.1641,2016
2021,"11","2010",0.0066,0.002,0.0058,0.0018,0.0044,0.0038,2016
2021,"21","2000",0.1952,0.1351,0.1803,0.1244,0.1659,0.153,2016
2021,"31","1990",0.2413,0.1799,0.225,0.17,0.2111,0.198,2016
2021,"41","1980",0.2534,0.194,0.2359,0.1845,0.2238,0.2103,2016
2021,"51","1970",0.1858,0.15,0.1752,0.1413,0.1677,0.1581,2016
2022,"12","2010",0.0129,0.0051,0.012,0.0046,0.0091,0.0083,2016
2022,"22","2000",0.2025,0.1408,0.1865,0.1294,0.1724,0.1586,2016
2022,"32","1990",0.237,0.1769,0.2194,0.1667,0.2075,0.1935,2016
2022,"42","1980",0.246,0.189,0.2282,0.1788,0.2176,0.2036,2016
2022,"52","1970",0.1795,0.1449,0.1686,0.1358,0.162,0.152,2016
2023,"13","2010",0.0237,0.0114,0.0223,0.0103,0.0177,0.0164,2016
2023,"23","2000",0.2084,0.1455,0.1917,0.1328,0.1777,0.163,2016
2023,"33","1990",0.2314,0.1736,0.2141,0.1637,0.203,0.1893,2016
2023,"43","1980",0.2391,0.1834,0.2209,0.1737,0.2113,0.1974,2016
2023,"53","1970",0.1732,0.1398,0.1621,0.1309,0.1563,0.1463,2016
2024,"14","2010",0.042,0.0235,0.0388,0.0209,0.0329,0.03,2016
2024,"24","2000",0.2109,0.1486,0.1934,0.136,0.1805,0.1654,2016
2024,"34","1990",0.225,0.1705,0.2083,0.16,0.1982,0.1846,2016
2024,"44","1980",0.2322,0.178,0.2136,0.1681,0.2052,0.1909,2016
2024,"54","1970",0.167,0.1345,0.1556,0.126,0.1505,0.1406,2016
2025,"15","2010",0.0664,0.04,0.0606,0.0374,0.0534,0.0493,2016
2025,"25","2000",0.2128,0.1494,0.1947,0.137,0.1819,0.1665,2016
2025,"35","1990",0.219,0.1672,0.2028,0.1562,0.1935,0.1799,2016
2025,"45","1980",0.2257,0.173,0.2069,0.1628,0.1994,0.1849,2016
2025,"55","1970",0.1609,0.129,0.1496,0.1209,0.1447,0.135,2016
2026,"16","2010",0.0959,0.0614,0.0874,0.0562,0.079,0.0721,2016
2026,"26","2000",0.2123,0.1501,0.195,0.1368,0.1819,0.1666,2016
2026,"36","1990",0.2123,0.164,0.1968,0.1524,0.1886,0.175,2016
2026,"46","1980",0.2184,0.1681,0.2003,0.1579,0.1933,0.1791,2016
2026,"56","1970",0.1552,0.1242,0.1442,0.1159,0.1394,0.1298,2016
2027,"17","2010",0.1229,0.0821,0.1128,0.0756,0.1029,0.0946,2016
2027,"27","2000",0.2112,0.1503,0.1944,0.1364,0.1815,0.1661,2016
2027,"37","1990",0.2069,0.16,0.1917,0.1488,0.1838,0.1706,2016
2027,"47","1980",0.2114,0.163,0.1942,0.1535,0.1872,0.1738,2016
2027,"57","1970",0.1501,0.1192,0.1388,0.1107,0.1344,0.1245,2016
2028,"18","2010",0.1482,0.1013,0.136,0.0933,0.1252,0.1151,2016
2028,"28","2000",0.2097,0.1497,0.1923,0.1358,0.1804,0.1647,2016
2028,"38","1990",0.201,0.1567,0.1863,0.1453,0.1792,0.1661,2016
2028,"48","1980",0.2057,0.1582,0.1886,0.1487,0.182,0.1686,2016
2028,"58","1970",0.1447,0.1141,0.1336,0.1063,0.1291,0.1197,2016
2029,"19","2010",0.1681,0.1161,0.1545,0.1072,0.1426,0.1314,2016
2029,"29","2000",0.2071,0.1481,0.1897,0.1342,0.1783,0.1626,2016
2029,"39","1990",0.1957,0.1531,0.1806,0.1413,0.1747,0.1613,2016
