"year","age","cohort","males_baseline","females_baseline","males_policy","females_policy","both_baseline","both_policy","policy_year"
2010,"0","2010",0,0,0,0,0,0,2016
2010,"10","2000",0.0036,0.0011,0.0032,0.001,0.0024,0.0021,2016
2010,"20","1990",0.2267,0.1769,0.2271,0.176,0.2024,0.2021,2016
2010,"30","1980",0.3359,0.2533,0.3373,0.2533,0.295,0.2957,2016
2010,"40","1970",0.2594,0.2079,0.2584,0.2074,0.2338,0.2331,2016
2011,"1","2010",0,0,0,0,0,0,2016
2011,"11","2000",0.007,0.0024,0.0064,0.0024,0.0047,0.0044,2016
2011,"21","1990",0.2383,0.1838,0.2389,0.1831,0.2116,0.2116,2016
2011,"31","1980",0.3291,0.2482,0.3305,0.2484,0.289,0.2898,2016
2011,"41","1970",0.2517,0.2029,0.251,0.2016,0.2274,0.2264,2016
2012,"2","2010",0,0,0,0,0,0,2016
2012,"12","2000",0.0133,0.0055,0.013,0.0054,0.0095,0.0093,2016
2012,"22","1990",0.2471,0.1867,0.2474,0.1859,0.2175,0.2173,2016
2012,"32","1980",0.3214,0.2429,0.3225,0.2428,0.2825,0.283,2016
2012,"42","1970",0.2447,0.1977,0.2432,0.1967,0.2213,0.22,2016
2013,"3","2010",0,0,0,0,0,0,2016
2013,"13","2000",0.0241,0.0117,0.0243,0.0117,0.0181,0.0182,2016
2013,"23","1990",0.2528,0.1889,0.2536,0.1882,0.2215,0.2215,2016
2013,"33","1980",0.3143,0.2376,0.3149,0.2367,0.2763,0.2761,2016
2013,"43","1970",0.2378,0.192,0.2362,0.1906,0.215,0.2135,2016
2014,"4","2010",0,0,0,0,0,0,2016
2014,"14","2000",0.0427,0.0239,0.0421,0.0234,0.0335,0.033,2016
2014,"24","1990",0.2555,0.1906,0.2561,0.1892,0.2237,0.2233,2016
2014,"34","1980",0.3068,0.2319,0.3076,0.2317,0.2696,0.2699,2016
2014,"44","1970",0.231,0.1867,0.2288,0.1859,0.2088,0.2073,2016
2015,"5","2010",0,0,0,0,0,0,2016
2015,"15","2000",0.0671,0.0403,0.0664,0.0413,0.054,0.0541,2016
2015,"25","1990",0.2566,0.1906,0.2568,0.1892,0.2242,0.2237,2016
2015,"35","1980",0.2994,0.2263,0.2994,0.2267,0.263,0.2632,2016
2015,"45","1970",0.224,0.1812,0.2224,0.1808,0.2025,0.2015,2016
2016,"6","2010",0,0,0,0,0,0,2016
2016,"16","2000",0.0965,0.0618,0.0935,0.0599,0.0796,0.0771,2016
2016,"26","1990",0.2569,0.1897,0.2531,0.1861,0.224,0.2203,2016
2016,"36","1980",0.2914,0.2206,0.2868,0.2178,0.2562,0.2525,2016
2016,"46","1970",0.218,0.1756,0.2121,0.1728,0.1967,0.1923,2016
2017,"7","2010",0,0,0,0,0,0,2016
2017,"17","2000",0.1238,0.0827,0.1181,0.0786,0.1038,0.0988,2016
2017,"27","1990",0.2553,0.189,0.2485,0.1838,0.2228,0.2168,2016
2017,"37","1980",0.2839,0.2156,0.2761,0.2107,0.25,0.2436,2016
2017,"47","1970",0.2109,0.1701,0.2034,0.1659,0.1904,0.1845,2016
2018,"8","2010",5e-04,1e-04,4e-04,1e-04,3e-04,3e-04,2016
2018,"18","2000",0.1491,0.1018,0.141,0.0956,0.126,0.1188,2016
2018,"28","1990",0.2525,0.1874,0.2434,0.1812,0.2205,0.2129,2016
2018,"38","1980",0.2761,0.21,0.2663,0.2036,0.2432,0.2351,2016
2018,"48","1970",0.2044,0.1649,0.1953,0.1593,0.1845,0.1772,2016
2019,"9","2010",0.0013,3e-04,0.0012,3e-04,8e-04,7e-04,2016
2019,"19","2000",0.1691,0.1164,0.1582,0.1092,0.1434,0.1343,2016
2019,"29","1990",0.249,0.1851,0.238,0.1781,0.2176,0.2086,2016
2019,"39","1980",0.2681,0.2044,0.2568,0.1974,0.2364,0.2272,2016
2019,"49","1970",0.1981,0.1603,0.1883,0.153,0.1791,0.1705,2016
2020,"10","2010",0.0033,9e-04,0.0028,8e-04,0.0021,0.0018,2016
2020,"20","2000",0.1838,0.1274,0.1717,0.119,0.1563,0.146,2016
2020,"30","1990",0.2458,0.1829,0.2326,0.1752,0.2149,0.2044,2016
2020,"40","1980",0.2601,0.1992,0.2474,0.1918,0.2298,0.2197,2016
2020,"50","1970",0.192,0.1551,0.1816,0.1464,0.1734,0.1638,2016
2021,"11","2010",0.0066,0.002,0.0058,0.0018,0.0044,0.0039,2016
2021,"21","2000",0.1952,0.1351,0.1824,0.1261,0.1659,0.1549,2016
2021,"31","1990",0.2413,0.1799,0.2269,0.1722,0.2111,0.2,2016
2021,"41","1980",0.2534,0.194,0.2387,0.1859,0.2238,0.2124,2016
2021,"51","1970",0.1858,0.15,0.1748,0.1409,0.1677,0.1577,2016
2022,"12","2010",0.0129,0.0051,0.0117,0.0045,0.0091,0.0082,2016
2022,"22","2000",0.2025,0.1408,0.1884,0.1312,0.1724,0.1605,2016
2022,"32","1990",0.237,0.1769,0.2218,0.1689,0.2075,0.1958,2016
2022,"42","1980",0.246,0.189,0.2306,0.1809,0.2176,0.2058,2016
2022,"52","1970",0.1795,0.1449,0.1679,0.1355,0.162,0.1515,2016
2023,"13","2010",0.0237,0.0114,0.0223,0.0103,0.0177,0.0164,2016
2023,"23","2000",0.2084,0.1455,0.1934,0.1343,0.1777,0.1646,2016
2023,"33","1990",0.2314,0.1736,0.2155,0.1654,0.203,0.1909,2016
2023,"43","1980",0.2391,0.1834,0.2231,0.1754,0.2113,0.1993,2016
2023,"53","1970",0.1732,0.1398,0.162,0.1309,0.1563,0.1463,2016
2024,"14","2010",0.042,0.0235,0.0391,0.0209,0.0329,0.0301,2016
2024,"24","2000",0.2109,0.1486,0.1953,0.1376,0.1805,0.1672,2016
2024,"34","1990",0.225,0.1705,0.2103,0.1615,0.1982,0.1863,2016
2024,"44","1980",0.2322,0.178,0.2163,0.1698,0.2052,0.1931,2016
2024,"54","1970",0.167,0.1345,0.1558,0.126,0.1505,0.1407,2016
2025,"15","2010",0.0664,0.04,0.0614,0.0374,0.0534,0.0497,2016
2025,"25","2000",0.2128,0.1494,0.1976,0.1383,0.1819,0.1687,2016
2025,"35","1990",0.219,0.1672,0.2046,0.1576,0.1935,0.1815,2016
2025,"45","1980",0.2257,0.173,0.2104,0.165,0.1994,0.1877,2016
2025,"55","1970",0.1609,0.129,0.1498,0.121,0.1447,0.1352,2016
2026,"16","2010",0.0959,0.0614,0.0888,0.0565,0.079,0.0729,2016
2026,"26","2000",0.2123,0.1501,0.1977,0.1385,0.1819,0.1688,2016
2026,"36","1990",0.2123,0.164,0.1991,0.1542,0.1886,0.177,2016
2026,"46","1980",0.2184,0.1681,0.2046,0.1596,0.1933,0.1821,2016
2026,"56","1970",0.1552,0.1242,0.1446,0.1158,0.1394,0.1299,2016
2027,"17","2010",0.1229,0.0821,0.1148,0.0761,0.1029,0.0959,2016
2027,"27","2000",0.2112,0.1503,0.1974,0.138,0.1815,0.1684,2016
2027,"37","1990",0.2069,0.16,0.1935,0.1504,0.1838,0.1723,2016
2027,"47","1980",0.2114,0.163,0.1984,0.1553,0.1872,0.1768,2016
2027,"57","1970",0.1501,0.1192,0.1391,0.1107,0.1344,0.1246,2016
2028,"18","2010",0.1482,0.1013,0.1379,0.094,0.1252,0.1164,2016
2028,"28","2000",0.2097,0.1497,0.195,0.1373,0.1804,0.1668,2016
2028,"38","1990",0.201,0.1567,0.1883,0.1465,0.1792,0.1678,2016
2028,"48","1980",0.2057,0.1582,0.1921,0.1502,0.182,0.1711,2016
2028,"58","1970",0.1447,0.1141,0.1331,0.1066,0.1291,0.1196,2016
