"year","age","cohort","males_baseline","females_baseline","males_policy","females_policy","both_baseline","both_policy","policy_year"
2010,"0","2010",0,0,0,0,0,0,2016
2010,"10","2000",0.0036,0.0011,0.0034,0.0011,0.0024,0.0023,2016
2010,"20","1990",0.2267,0.1769,0.2275,0.1757,0.2024,0.2022,2016
2010,"30","1980",0.3359,0.2533,0.336,0.2528,0.295,0.2948,2016
2010,"40","1970",0.2594,0.2079,0.2612,0.2081,0.2338,0.2348,2016
2011,"1","2010",0,0,0,0,0,0,2016
2011,"11","2000",0.007,0.0024,0.0067,0.0024,0.0047,0.0046,2016
2011,"21","1990",0.2383,0.1838,0.2393,0.1827,0.2116,0.2116,2016
2011,"31","1980",0.3291,0.2482,0.329,0.2475,0.289,0.2886,2016
2011,"41","1970",0.2517,0.2029,0.2542,0.2027,0.2274,0.2286,2016
2012,"2","2010",0,0,0,0,0,0,2016
2012,"12","2000",0.0133,0.0055,0.0135,0.0055,0.0095,0.0096,2016
2012,"22","1990",0.2471,0.1867,0.2479,0.1862,0.2175,0.2176,2016
2012,"32","1980",0.3214,0.2429,0.3218,0.2419,0.2825,0.2822,2016
2012,"42","1970",0.2447,0.1977,0.2466,0.1968,0.2213,0.2218,2016
2013,"3","2010",0,0,0,0,0,0,2016
2013,"13","2000",0.0241,0.0117,0.0245,0.0121,0.0181,0.0184,2016
2013,"23","1990",0.2528,0.1889,0.2541,0.1888,0.2215,0.2221,2016
2013,"33","1980",0.3143,0.2376,0.3146,0.236,0.2763,0.2756,2016
2013,"43","1970",0.2378,0.192,0.239,0.191,0.215,0.2151,2016
2014,"4","2010",0,0,0,0,0,0,2016
2014,"14","2000",0.0427,0.0239,0.0426,0.0238,0.0335,0.0334,2016
2014,"24","1990",0.2555,0.1906,0.2565,0.1902,0.2237,0.224,2016
2014,"34","1980",0.3068,0.2319,0.3071,0.2306,0.2696,0.269,2016
2014,"44","1970",0.231,0.1867,0.2328,0.1857,0.2088,0.2091,2016
2015,"5","2010",0,0,0,0,0,0,2016
2015,"15","2000",0.0671,0.0403,0.0671,0.0411,0.054,0.0544,2016
2015,"25","1990",0.2566,0.1906,0.2572,0.1899,0.2242,0.2242,2016
2015,"35","1980",0.2994,0.2263,0.2991,0.2249,0.263,0.2622,2016
2015,"45","1970",0.224,0.1812,0.2258,0.1804,0.2025,0.203,2016
2016,"6","2010",0,0,0,0,0,0,2016
2016,"16","2000",0.0965,0.0618,0.095,0.0612,0.0796,0.0785,2016
2016,"26","1990",0.2569,0.1897,0.2555,0.1882,0.224,0.2225,2016
2016,"36","1980",0.2914,0.2206,0.2884,0.2179,0.2562,0.2534,2016
2016,"46","1970",0.218,0.1756,0.2172,0.1743,0.1967,0.1956,2016
2017,"7","2010",0,0,0,0,0,0,2016
