"year","age","cohort","males_baseline","females_baseline","males_policy","females_policy","both_baseline","both_policy","policy_year"
2010,"0","2010",0,0,0,0,0,0,2016
2010,"10","2000",0.0036,0.0011,0.0033,0.0011,0.0024,0.0022,2016
2010,"20","1990",0.2267,0.1769,0.2272,0.1769,0.2024,0.2026,2016
2010,"30","1980",0.3359,0.2533,0.3358,0.2523,0.295,0.2944,2016
2010,"40","1970",0.2594,0.2079,0.2608,0.2087,0.2338,0.2349,2016
2011,"1","2010",0,0,0,0,0,0,2016
2011,"11","2000",0.007,0.0024,0.0065,0.0025,0.0047,0.0046,2016
2011,"21","1990",0.2383,0.1838,0.2392,0.1837,0.2116,0.2121,2016
2011,"31","1980",0.3291,0.2482,0.3291,0.2475,0.289,0.2887,2016
2011,"41","1970",0.2517,0.2029,0.2531,0.2031,0.2274,0.2282,2016
2012,"2","2010",0,0,0,0,0,0,2016
2012,"12","2000",0.0133,0.0055,0.0131,0.0056,0.0095,0.0095,2016
2012,"22","1990",0.2471,0.1867,0.2482,0.1871,0.2175,0.2183,2016
2012,"32","1980",0.3214,0.2429,0.3224,0.242,0.2825,0.2826,2016
2012,"42","1970",0.2447,0.1977,0.2459,0.1975,0.2213,0.2218,2016
2013,"3","2010",0,0,0,0,0,0,2016
2013,"13","2000",0.0241,0.0117,0.0242,0.012,0.0181,0.0182,2016
2013,"23","1990",0.2528,0.1889,0.2535,0.1893,0.2215,0.222,2016
2013,"33","1980",0.3143,0.2376,0.3151,0.2362,0.2763,0.276,2016
2013,"43","1970",0.2378,0.192,0.2389,0.1922,0.215,0.2156,2016
2014,"4","2010",0,0,0,0,0,0,2016
2014,"14","2000",0.0427,0.0239,0.0422,0.0235,0.0335,0.0331,2016
2014,"24","1990",0.2555,0.1906,0.2563,0.1903,0.2237,0.224,2016
2014,"34","1980",0.3068,0.2319,0.3073,0.231,0.2696,0.2694,2016
2014,"44","1970",0.231,0.1867,0.2314,0.1873,0.2088,0.2093,2016
2015,"5","2010",0,0,0,0,0,0,2016
2015,"15","2000",0.0671,0.0403,0.067,0.041,0.054,0.0543,2016
2015,"25","1990",0.2566,0.1906,0.257,0.1903,0.2242,0.2243,2016
2015,"35","1980",0.2994,0.2263,0.3003,0.2256,0.263,0.2632,2016
2015,"45","1970",0.224,0.1812,0.2239,0.1817,0.2025,0.2027,2016
2016,"6","2010",0,0,0,0,0,0,2016
2016,"16","2000",0.0965,0.0618,0.0946,0.0609,0.0796,0.0781,2016
2016,"26","1990",0.2569,0.1897,0.2534,0.1883,0.224,0.2215,2016
2016,"36","1980",0.2914,0.2206,0.2893,0.2189,0.2562,0.2543,2016
2016,"46","1970",0.218,0.1756,0.2148,0.1754,0.1967,0.195,2016
2017,"7","2010",0,0,0,0,0,0,2016
2017,"17","2000",0.1238,0.0827,0.12,0.0803,0.1038,0.1006,2016
2017,"27","1990",0.2553,0.189,0.2502,0.186,0.2228,0.2187,2016
2017,"37","1980",0.2839,0.2156,0.2791,0.213,0.25,0.2462,2016
2017,"47","1970",0.2109,0.1701,0.2069,0.1691,0.1904,0.1879,2016
2018,"8","2010",5e-04,1e-04,4e-04,1e-04,3e-04,3e-04,2016
2018,"18","2000",0.1491,0.1018,0.1424,0.0971,0.126,0.1203,2016
2018,"28","1990",0.2525,0.1874,0.2464,0.1836,0.2205,0.2156,2016
2018,"38","1980",0.2761,0.21,0.2697,0.2069,0.2432,0.2384,2016
2018,"48","1970",0.2044,0.1649,0.1995,0.1633,0.1845,0.1813,2016
2019,"9","2010",0.0013,3e-04,0.0012,3e-04,8e-04,7e-04,2016
2019,"19","2000",0.1691,0.1164,0.1612,0.1115,0.1434,0.137,2016
2019,"29","1990",0.249,0.1851,0.2421,0.181,0.2176,0.2121,2016
2019,"39","1980",0.2681,0.2044,0.2608,0.2006,0.2364,0.2309,2016
2019,"49","1970",0.1981,0.1603,0.1926,0.1569,0.1791,0.1746,2016
2020,"10","2010",0.0033,9e-04,0.003,8e-04,0.0021,0.0019,2016
2020,"20","2000",0.1838,0.1274,0.1751,0.1223,0.1563,0.1493,2016
2020,"30","1990",0.2458,0.1829,0.2373,0.1784,0.2149,0.2084,2016
2020,"40","1980",0.2601,0.1992,0.2521,0.194,0.2298,0.2232,2016
2020,"50","1970",0.192,0.1551,0.1852,0.1514,0.1734,0.1682,2016
