"year","cumulativedeaths_avoided_males","cumulativedeaths_avoided_females","cumulativedeaths_avoided","policy_year"
2030,321367,215243,536610,2020
2031,350283,235945,586228,2020
2032,379338,255925,635263,2020
2033,407485,275237,682722,2020
2034,435196,293631,728827,2020
2035,462908,312098,775006,2020
2036,490556,331049,821605,2020
2037,524526,350621,875147,2020
2038,560791,369226,930017,2020
2039,594121,388216,982337,2020
2040,629777,407279,1037056,2020
2041,662736,426650,1089386,2020
2042,698826,445958,1144784,2020
2043,733721,463547,1197268,2020
2044,767521,481315,1248836,2020
2045,799867,497032,1296899,2020
2046,835199,512278,1347477,2020
2047,865734,526892,1392626,2020
2048,896637,542671,1439308,2020
2049,925308,558590,1483898,2020
2050,955141,573085,1528226,2020
2051,983636,586574,1570210,2020
2052,1009053,599647,1608700,2020
2053,1031532,612178,1643710,2020
2054,1054160,623423,1677583,2020
2055,1074266,635245,1709511,2020
2056,1095816,646986,1742802,2020
2057,1115968,657498,1773466,2020
2058,1137939,667277,1805216,2020
2059,1159100,676344,1835444,2020
2060,1182074,685772,1867846,2020
