13,
* 
* OCD parameters for SHG v6.2.x
* 
* 
* Data for All Race Male and All Races Female 
* Probabilities of dying from condition other than lung cancer by race, sex, year of birth, age and smoking status/intensity
* 
* The first line following these comments contains the following values:
* Number of Race Values,Number of Sex Values,Min Year of Birth,Max Year of Birth,Min Age,Max Age
* The subsequent statistics in this file are comma-delimited as follows:
* Race,Sex,Year of Birth,Age,Never Smokers Prob of Dying,Current Smokers in Group 1 Prob of Dying,Current Smokers in Group 2 Prob of Dying,Current Smokers in Group 3 Prob of Dying,Current Smokers in Group 4 Prob of Dying,Current Smokers in Group 5 Prob of Dying,Current Smokers in Group 6 Prob of Dying
0,0,1890,43,0.0035461272,0.004811258,0.0063038848,0.0081436158,0.0095766571,0.0113623403,0.0115121318
0,0,1890,44,0.0036743459,0.0049053767,0.006488878,0.0084671321,0.0096860918,0.0113911343,0.0115915228
0,0,1890,45,0.0039838614,0.0052375092,0.0069928708,0.0092125387,0.0102602602,0.0119596109,0.0122235289
0,0,1890,46,0.0041181624,0.0053352618,0.0071880411,0.009556625,0.0103700872,0.0119799975,0.0122988113
0,0,1890,47,0.0045449225,0.0058051358,0.0078901725,0.0105822069,0.0111961124,0.0128183516,0.0132186356
0,0,1890,48,0.0050084731,0.0063181799,0.0085954492,0.0115438863,0.0121978752,0.0138393054,0.0142090275
0,0,1890,49,0.005449996,0.0067893179,0.0092449513,0.0124331044,0.0131206395,0.014751101,0.0150775754
0,0,1890,50,0.0059183428,0.0072784924,0.0099202183,0.0133593542,0.0140801178,0.0156851538,0.0159592712
0,0,1890,51,0.0066350972,0.0080524319,0.0109851902,0.0148135418,0.0155929124,0.0172106032,0.0174299646
0,0,1890,52,0.0072394807,0.0087161213,0.0119015612,0.0160708987,0.0168949964,0.0184750732,0.0186217437
0,0,1890,53,0.0078273245,0.0093511746,0.0127804574,0.0172808606,0.0181440818,0.019655979,0.0197160029
0,0,1890,54,0.0080687994,0.0095692875,0.013090578,0.0177238626,0.0185858217,0.0199455036,0.0199073771
0,0,1890,55,0.0087453869,0.0103019854,0.0141058271,0.0191239036,0.0200288384,0.0212909001,0.0211427382
0,0,1890,56,0.0096319278,0.0112776397,0.0154558779,0.0209820527,0.0219475001,0.0231083703,0.0228289781
0,0,1890,57,0.0106446561,0.0123943738,0.0170018943,0.0231113755,0.0241447542,0.0251781329,0.024742339
0,0,1890,58,0.0114863741,0.0133786691,0.0182896623,0.0248046449,0.0258652851,0.0269567404,0.0262876581
0,0,1890,59,0.0126443643,0.0147371293,0.0200775413,0.0271656806,0.0282732375,0.0294489136,0.0284915484
0,0,1890,60,0.0141962522,0.0165604995,0.0224833222,0.0303484683,0.0315242921,0.0328153295,0.0314902132
0,0,1890,61,0.0154550845,0.0180981085,0.0244846538,0.0329700479,0.0341793772,0.0355571637,0.0338346975
0,0,1890,62,0.0171094764,0.0201331967,0.0271413411,0.0364576687,0.0377182289,0.039213845,0.0369904294
0,0,1890,63,0.0192225812,0.0227604498,0.0305732064,0.0409649842,0.0422935623,0.0439421166,0.0410788027
0,0,1890,64,0.0207600769,0.0246590288,0.0330035932,0.0441091835,0.0454433367,0.0471833365,0.0436996188
0,0,1890,65,0.0227382549,0.0271108486,0.0361523668,0.0481927635,0.0495430513,0.0514050546,0.0471525409
0,0,1890,66,0.0248928197,0.0298144341,0.0396106104,0.0526641116,0.054020022,0.0560112302,0.0508668611
0,0,1890,67,0.0263533043,0.0317320109,0.0420007059,0.0556927008,0.0569975259,0.0590562688,0.0530796756
0,0,1890,68,0.0295155281,0.0357547038,0.0471464076,0.0623459969,0.0636593155,0.0659103596,0.0586072283
0,0,1890,69,0.0314252048,0.038321993,0.0503387048,0.0663834101,0.067621655,0.0699601921,0.061518647
0,0,1890,70,0.0341071202,0.0418914533,0.0548150349,0.0720831066,0.0732502262,0.0757249661,0.0658211707
0,0,1890,71,0.0373765139,0.0462561108,0.0602899854,0.0790557398,0.0801371113,0.082778932,0.0710915605
0,0,1890,72,0.0413157921,0.0515376597,0.0669088724,0.0874790222,0.0884511932,0.0912928131,0.0774274681
0,0,1890,73,0.0442548928,0.055747625,0.0720227197,0.0937016922,0.0947167769,0.0976780368,0.081582985
0,0,1890,74,0.0463368638,0.0589555059,0.0757928452,0.0981112008,0.0991458591,0.1021578321,0.08396929
0,0,1890,75,0.0492005367,0.0634271491,0.0811364254,0.1044893417,0.1055604364,0.108671304,0.0878395989
0,0,1890,76,0.0537716827,0.069966244,0.089051614,0.1140815455,0.1152164053,0.1185041955,0.0941223416
0,0,1890,77,0.0578543915,0.0759787035,0.0962128207,0.1225953923,0.1237767907,0.1271899932,0.0991804843
0,0,1890,78,0.0628748036,0.0834217007,0.1050951729,0.1331803043,0.1336879385,0.1364078141,0.105548722
0,0,1890,79,0.066935133,0.0896858077,0.1123995256,0.1416395094,0.1413311941,0.1431435612,0.1098528969
0,0,1890,80,0.0747193808,0.1010520735,0.1259786353,0.1578426468,0.1565269353,0.1573085227,0.1196691163
0,0,1890,81,0.0801506675,0.1093441084,0.1355911602,0.1688920596,0.1664140353,0.1658873067,0.1250181274
0,0,1890,82,0.0852558696,0.1172458136,0.1446074129,0.1790439538,0.1752492037,0.1732035248,0.1292286017
0,0,1890,83,0.095187269,0.1343153529,0.1647587477,0.2027437854,0.1970850629,0.193034369,0.1424816099
0,0,1890,84,0.1020983945,0.1477179754,0.1802011872,0.2203551278,0.2126802498,0.2063359335,0.150544401
0,0,1890,85,0.1121387567,0.1662501738,0.201678317,0.2450334057,0.2347516886,0.2254714673,0.1624603629
0,0,1890,86,0.1201956446,0.1824899351,0.2201301771,0.2656916491,0.2525895288,0.2400388216,0.1706294246
0,0,1890,87,0.1294638712,0.1991445573,0.2388486926,0.2863403056,0.2700479824,0.2537556592,0.1777446455
0,0,1890,88,0.1446584607,0.2237637692,0.2683763214,0.3217390769,0.303432618,0.2851261592,0.1997182969
0,0,1890,89,0.1509847171,0.2348623401,0.2816876526,0.337697174,0.3184827239,0.2992682739,0.2096242244
0,0,1890,90,0.1620677242,0.2535209574,0.3040663026,0.3645254954,0.3437845551,0.3230436147,0.2262778019
0,0,1890,91,0.1731503643,0.2723794294,0.3266846531,0.3916411782,0.3693573972,0.3470736162,0.2431097579
0,0,1890,92,0.187577027,0.2967255701,0.3558847676,0.4266473138,0.4023717375,0.3780961612,0.2648396822
0,0,1890,93,0.2082049075,0.3311890209,0.3972193151,0.4762006391,0.4491055547,0.4220104704,0.2955997186
0,0,1890,94,0.2258530953,0.3612437691,0.4332661817,0.5194149046,0.489860995,0.4603070854,0.3224248081
0,0,1890,95,0.2444274565,0.3930863951,0.4714573817,0.5651998731,0.5330408691,0.5008818652,0.3508456515
0,0,1890,96,0.2438733604,0.3943077365,0.4729222261,0.5669559807,0.5346970569,0.5024381331,0.3519357485
0,0,1890,97,0.2588918364,0.420810417,0.5047088372,0.6050629003,0.5706357513,0.5362086024,0.3755904726
0,0,1890,98,0.2737224081,0.447234479,0.5364011552,0.643056778,0.6064678359,0.5698788937,0.3991750264
0,0,1890,99,0.2881904545,0.4732782493,0.5676373616,0.6805038529,0.6417842297,0.6030646066,0.4224201543
0,0,1891,0,0.14596,0.14596,0.14596,0.14596,0.14596,0.14596,0.14596
0,0,1891,1,0.03282,0.03282,0.03282,0.03282,0.03282,0.03282,0.03282
0,0,1891,2,0.01634,0.01634,0.01634,0.01634,0.01634,0.01634,0.01634
0,0,1891,3,0.0105198012,0.0105198012,0.0105198012,0.0105198012,0.0105198012,0.0105198012,0.0105198012
0,0,1891,4,0.0087496019,0.0087496019,0.0087496019,0.0087496019,0.0087496019,0.0087496019,0.0087496019
0,0,1891,5,0.0062794021,0.0062794021,0.0062794021,0.0062794021,0.0062794021,0.0062794021,0.0062794021
0,0,1891,6,0.0046192021,0.0046192021,0.0046192021,0.0046192021,0.0046192021,0.0046192021,0.0046192021
0,0,1891,7,0.003259002,0.003259002,0.003259002,0.003259002,0.003259002,0.003259002,0.003259002
0,0,1891,8,0.0025590016,0.0025590016,0.0025590016,0.0025590016,0.0025590016,0.0025590016,0.0025590016
0,0,1891,9,0.0020290013,0.0020290013,0.0020290013,0.0020290013,0.0020290013,0.0020290013,0.0020290013
0,0,1891,10,0.0021090014,0.0021090014,0.0021090014,0.0021090014,0.0021090014,0.0021090014,0.0021090014
0,0,1891,11,0.0021590014,0.0021590014,0.0021590014,0.0021590014,0.0021590014,0.0021590014,0.0021590014
0,0,1891,12,0.0021190014,0.0021190014,0.0021190014,0.0021190014,0.0021190014,0.0021190014,0.0021190014
0,0,1891,13,0.0023888019,0.0023888019,0.0023888019,0.0023888019,0.0023888019,0.0023888019,0.0023888019
0,0,1891,14,0.0025386024,0.0025386024,0.0025386024,0.0025386024,0.0025386024,0.0025386024,0.0025386024
0,0,1891,15,0.002668403,0.002668403,0.002668403,0.002668403,0.002668403,0.002668403,0.002668403
0,0,1891,16,0.003198204,0.003198204,0.003198204,0.003198204,0.003198204,0.003198204,0.003198204
0,0,1891,17,0.0037780052,0.0037780052,0.0037780052,0.0037780052,0.0037780052,0.0037780052,0.0037780052
0,0,1891,18,0.0091280107,0.0091280107,0.0091280107,0.0091280107,0.0091280107,0.0091280107,0.0091280107
0,0,1891,19,0.005308007,0.005308007,0.005308007,0.005308007,0.005308007,0.005308007,0.005308007
0,0,1891,20,0.0050680069,0.0050680069,0.0050680069,0.0050680069,0.0050680069,0.0050680069,0.0050680069
0,0,1891,21,0.0043680063,0.0043680063,0.0043680063,0.0043680063,0.0043680063,0.0043680063,0.0043680063
0,0,1891,22,0.0044880065,0.0044880065,0.0044880065,0.0044880065,0.0044880065,0.0044880065,0.0044880065
0,0,1891,23,0.0047176081,0.0047176081,0.0047176081,0.0047176081,0.0047176081,0.0047176081,0.0047176081
0,0,1891,24,0.0045572092,0.0045572092,0.0045572092,0.0045572092,0.0045572092,0.0045572092,0.0045572092
0,0,1891,25,0.0046168105,0.0046168105,0.0046168105,0.0046168105,0.0046168105,0.0046168105,0.0046168105
0,0,1891,26,0.0046664119,0.0046664119,0.0046664119,0.0046664119,0.0046664119,0.0046664119,0.0046664119
0,0,1891,27,0.004566013,0.004566013,0.004566013,0.004566013,0.004566013,0.004566013,0.004566013
