birthyear,age,p_berkeley,q_nlung,final
1865,22,0.00449,0.0044880065,0.00449
1865,23,0.00472,0.0047176081,0.00472
1865,24,0.00456,0.0045572092,0.00456
1865,25,0.00462,0.0046168106,0.00462
1865,26,0.00467,0.0046664119,0.00467
1865,27,0.00457,0.004566013,0.00457
1865,28,0.00494,0.0049332238,0.00494
1865,29,0.00504,0.0050304339,0.00504
1865,30,0.00491,0.0048976433,0.00491
1865,31,0.00496,0.0049448544,0.00496
1865,32,0.00472,0.0047020639,0.00472
1865,33,0.004922,0.0048994834,0.004922
1865,34,0.005239,0.0052119066,0.005239
1865,35,0.005588,0.0055563334,0.005588
1865,36,0.005908,0.0058717619,0.005908
1865,37,0.00618,0.0061391931,0.00618
1865,38,0.006428,0.0063746668,0.006428
1865,39,0.006673,0.00660715,0.006673
1865,40,0.006945,0.0068666457,0.0040787357
1865,41,0.007307,0.0072161508,0.0042620659
1865,42,0.007791,0.0076876742,0.004514217
1865,43,0.00837,0.0082383293,0.004849332
1865,44,0.009015,0.0088550218,0.0052230498
1865,45,0.00972,0.0095317512,0.005631979
1865,46,0.010463,0.0102465405,0.0060634734
1865,47,0.011236,0.0109913721,0.0065130047
1865,48,0.012063,0.0117758075,0.0070235117
1865,49,0.012972,0.0126423983,0.0075870505
1865,50,0.013949,0.013577025,0.008196192
1865,51,0.01491,0.0144957488,0.008802034
1865,52,0.015823,0.0153665983,0.0093855678
1865,53,0.016688,0.0161785417,0.0100159246
1865,54,0.017508,0.0169455572,0.0106330433
1865,55,0.018342,0.0177266914,0.0112723933
1865,56,0.019425,0.0187570898,0.0120805999
1865,57,0.020855,0.020134741,0.0131250656
1865,58,0.022651,0.0218862237,0.014432273
1865,59,0.02485,0.0240411302,0.016030747
1865,60,0.027393,0.0265407089,0.0178924958
1865,61,0.029892,0.0289962644,0.0197703699
1865,62,0.032202,0.0312629014,0.0215673241
1865,63,0.034355,0.0334157174,0.0232984194
1865,64,0.036368,0.0354286524,0.0249767985
1865,65,0.03837,0.0374305242,0.0266898293
1865,66,0.040889,0.0399495992,0.0288103002
1865,67,0.044202,0.043263056,0.03155094
1865,68,0.048382,0.0474468269,0.0349874295
1865,69,0.053508,0.052576824,0.0392026972
1865,70,0.058745,0.0578182647,0.0436039713
1865,71,0.062918,0.0619953845,0.0473096813
1865,72,0.065854,0.0649354854,0.0501543784
1865,73,0.071362,0.0704670389,0.0551991542
1865,74,0.079584,0.0787142936,0.062520073
1865,75,0.084663,0.0838164366,0.0675432321
1865,76,0.087579,0.0867551989,0.0711405468
