"age","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
0,88.7374991718435,88.8190899966647,88.914434840037,89.0061307005067,89.0942487245376,89.1792154692718,89.2602694020117,89.337863766962,89.4123407983957,89.4835875631601,89.5515563793984,89.616712662377,89.6788571752,89.7378681820963,89.7944903590235,89.8481214012006,89.8993166151431,89.9479758531686,89.9945627297276,90.0388709193294,90.0810047524353,90.1213109965822,90.1593430880473,90.1960610190964,90.230827517064,90.2639920906161,90.2955964229084,90.325593666885,90.3541418858493,90.3813672008861,90.4073831781997,90.4322342112633,90.4558069046876,90.4781957786835,90.4995073730613,90.5196524048503,90.5389109352895,90.5573839490161,90.5746621422052,90.5912231603634,90.6069366572908,90.6218038634713,90.6358126981472,90.6489773786355,90.661677569745,90.6736950020192,90.6849518671785,90.6957368329681,90.7058041433359,90.7157039019722,90.7248388318537
1,88.2130727302437,88.2332815169106,88.3153307782339,88.3947642854737,88.4709420914105,88.5441169237907,88.614542615993,88.6815458625581,88.745495865228,88.8068282848871,88.8652535004105,88.9209046101311,88.9740723462232,89.0245585015886,89.0723322719747,89.1180533415499,89.1612083997781,89.2021769520909,89.2409494850351,89.277992403243,89.3130100559085,89.3461979649482,89.3778150731386,89.4075043131661,89.4360493757992,89.4629918024437,89.4885028400389,89.5127148532508,89.5355814934764,89.5572617742799,89.5777925457443,89.5973781332074,89.6159733432895,89.6335550472152,89.650038061635,89.6657097387005,89.6803908007584,89.6943620947308,89.7077250150352,89.7200698119999,89.73178491669,89.7429204237602,89.7532972889177,89.7629938356829,89.7719342108483,89.7805890062049,89.7886494999186,89.7961281984367,89.8032239514095,89.8097811089421,89.8162601955754
2,87.1778767126175,87.2493057108768,87.3306266904643,87.4094499282665,87.48542462284,87.5585516111335,87.6288781495051,87.6961060319669,87.7603595451705,87.821843578045,87.8804669514083,87.9363715966668,87.9896751447905,88.0403775306848,88.0884566239613,88.1342194425631,88.1775933839298,88.2186957169604,88.2576375788215,88.2946879230166,88.3297309524548,88.3629560123865,88.3944924199662,88.4242311852701,88.4525866873266,88.4794322859878,88.5048069376984,88.5289318448828,88.5516398986438,88.5731646647173,88.5935383539824,88.6128803379743,88.6311950440476,88.6485217657673,88.6648605043977,88.6803849060794,88.6949657049491,88.7087362084397,88.7218126719153,88.7339919924725,88.745463672588,88.7563267641593,88.7665050889218,88.7760513005956,88.7849240728637,88.7933415981187,88.801194933126,88.8084681540876,88.8153401837362,88.8216703655551,88.8277567790878
3,86.1129624926233,86.197294731738,86.2799912431959,86.3602874533571,86.4379619466428,86.5129324578776,86.5851619022854,86.6544435083508,86.7207807887808,86.78426552596,86.8448558282253,86.9026889691238,86.9578323396415,87.0103476348853,87.0602677381973,87.1077101570245,87.152692842537,87.1954138243094,87.2358640333044,87.2742819542115,87.3106781964005,87.3451768173308,87.3778814180623,87.4087760838942,87.4381229922536,87.4659391672911,87.4922685416819,87.5172326854988,87.5408477193362,87.5631481194505,87.5842699816975,87.6042602543112,87.6232014278551,87.6411130935907,87.6580406452159,87.6741054273561,87.6892547116179,87.7035651333207,87.7170723278868,87.7297529923649,87.7416598595406,87.752867777588,87.7634493371212,87.7733636628193,87.782645767928,87.7913867658375,87.7995400082606,87.8071378035203,87.8142525481886,87.8208688970787,87.8270669844795
4,85.0395801714128,85.1274323059494,85.2118731671373,85.2940885416427,85.3738389932468,85.4510146798358,85.5255584487218,85.5973121307278,85.6661591553063,85.7321249995866,85.7951744449255,85.8554047918815,85.9128581271654,85.9676379919634,86.0197852174121,86.0693858710906,86.1164573711926,86.1611332258598,86.203537565176,86.2437400073225,86.2818490015164,86.3180053268408,86.3522549876729,86.3846320917088,86.4153379441957,86.4444436235473,86.4720009045001,86.4981494178067,86.5228541803026,86.5462879423238,86.5684068924103,86.5893297247676,86.6091295185541,86.6278887821806,86.645618405599,86.662416088679,86.6782811670142,86.6933091062259,86.7074893820466,86.7208052984675,86.7333643788939,86.7451408712147,86.7562358032867,86.7666868711474,86.7764706498698,86.7856919854215,86.7943023468454,86.8023249080058,86.809870559701,86.8168545516841,86.8234012389955
5,83.9626040162063,84.050909234186,84.1370839379197,84.2212146062726,84.3030824492091,84.3824885025161,84.4593827669033,84.5336447638285,84.6050988910266,84.6736966939227,84.7393700381213,84.8021945266547,84.8621566714339,84.9193839188084,84.9739286416127,85.0258487851349,85.0752133446917,85.1220825572273,85.166555747214,85.2087827821771,85.2487904623433,85.2867558636142,85.3227426114827,85.3567709350536,85.3890123196403,85.4195736747662,85.4485002970231,85.4759471099064,85.5019162192436,85.5265102292958,85.5498245174344,85.5717980544473,85.5926011814544,85.6122897815979,85.6309291503168,85.6485732509856,85.665225029229,85.6810044437266,85.6959380422447,85.7100066774889,85.7232367594603,85.7357013347342,85.7474263977309,85.758435365344,85.7687918039872,85.7785240543066,85.7876593216264,85.796174953524,85.8041804279381,85.8116312990198,85.8185636423242
6,82.8813517594512,82.9712845784054,83.0590391331676,83.144962922321,83.2288168376949,83.3103820155819,83.3895517054047,83.4662425286928,83.540250067892,83.6114827102953,83.6798331800839,83.7453343966558,83.8079272707936,83.867716320747,83.9247531623658,83.9790901563354,84.0308190511679,84.0800173532422,84.1267199744155,84.1710431935849,84.2131030402646,84.2530110572003,84.2908257255716,84.3266275820594,84.36052168722,84.3926626256511,84.4230639409687,84.4519068001849,84.4791932530869,84.5050783493422,84.5295797417194,84.5527502817206,84.5746309924907,84.5953497168612,84.6149368149713,84.6335086565494,84.6510085350049,84.6675841386358,84.6832873252362,84.6981276059882,84.7121199118585,84.7252736191593,84.7377129210223,84.7493615362739,84.7602940194942,84.7705909944756,84.7802466978912,84.7892968604056,84.7978041260242,84.80573297815,84.813124265631
7,81.8001386222659,81.8900846455725,81.9792269455291,82.0667505075382,82.1524260994302,82.2359731898591,82.3173052529057,82.3963074791627,82.4727556343674,82.5465364527588,82.6175334464808,82.6857308393259,82.7509952718624,82.8134257754421,82.8730436880274,82.9298589134937,82.9840322647576,83.03559715067,83.0846310975383,83.1311857604975,83.1753523632695,83.217322286982,83.2570815524499,83.2947220895576,83.3303747160602,83.3641864720927,83.3961694122402,83.4264964644785,83.4551725928787,83.4823845230643,83.508178193925,83.5325292317316,83.5556165293745,83.5774139088335,83.5980492209139,83.6175696536973,83.6359822180651,83.6534068729243,83.6698987790258,83.6855266304617,83.7002831056452,83.714199976909,83.7273455863754,83.739700954506,83.7512740184873,83.7621393401394,83.7723522682327,83.7819323196813,83.7909826632008,83.7994057995185,83.807267356453
8,80.7167843092619,80.8080251182011,80.8983054592658,80.9872123010458,81.0744997169181,81.1598568082974,81.2431662719908,81.3243418437265,81.4031051547831,81.4793137171379,81.5528542792988,81.6236924924506,81.6916484249769,81.7567530430511,81.8190232787078,81.878398109884,81.9350521581907,81.9890639441904,82.0404668945579,82.0893385556721,82.1357306006963,82.1798169528399,82.2216236995766,82.2612195099756,82.2986963315989,82.3342678351594,82.3679154443852,82.399816923939,82.4299794504722,82.4585738246798,82.485703884832,82.5113325646291,82.5356014921497,82.5586065853902,82.5803216692058,82.6008746026186,82.6202294584828,82.6385594734611,82.6559015125499,82.6723107410637,82.6878558578164,82.7025295436158,82.7164467906403,82.7295095254917,82.7417819730425,82.7532720730403,82.7640543913672,82.7741842801346,82.7837645423467,82.7927317922025,82.8010718042944
9,79.6344303741012,79.7252075138249,79.816393971677,79.9064418578636,79.9951245828973,80.0820821340886,80.1672052559693,80.2503608086175,80.3313092022823,80.4098284821718,80.4858004199557,80.5591685425845,80.6297769975536,80.6975675118952,80.7625224773296,80.8245368953956,80.8837611230288,80.9402560242854,80.994108273369,81.0453431602771,81.0940382369224,81.1403513138133,81.1842686241708,81.2259305426299,81.2653567323537,81.3027454672826,81.3381550552023,81.3717060166213,81.4034533565386,81.4335270953884,81.4620489418819,81.4890079752755,81.5145556733325,81.5387353119822,81.5616592223339,81.5832766139746,81.603674290177,81.6229476830643,81.6411879494196,81.6584401691287,81.6747677298866,81.6902311211731,81.7049052310482,81.7187406615051,81.7317215290493,81.7439038383893,81.7553037539517,81.7660040725599,81.7761259737955,81.7856241764392,81.7945093344066
