"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_67",1208674,1198532,1197108,1269729,1656881,1568257,1562099,1592120,1613653,1655094,1706708,1762321,1832046,1837870,1899749,1916284,1922224,1987382,1962098,1937555,1938048,1940778,1911417,1807091,1775849,1780019,1823485,1926651,1900763,1806136,1733336,1722393,1788771,1745026,1803665,1835857,1884933,2020324,1992772,2030715,2046576,2040940,2125424,2136933,2152090,2207071,2281023,2386860,2419088,2415585,2393962
"pop_68",1090773,1184759,1175143,1174063,1210817,1628888,1542156,1536427,1566165,1587754,1628871,1679862,1734887,1803800,1809948,1871230,1887929,1894128,1958650,1934235,1910438,1911251,1914316,1885706,1783225,1752812,1757238,1800537,1902625,1877455,1784375,1712818,1702392,1768218,1725366,1783615,1815759,1864590,1998733,1971935,2009811,2025779,2020596,2104482,2116237,2131558,2186285,2259867,2364983,2397238,2394103
"pop_69",988297,1067068,1159244,1150172,1186618,1188986,1599253,1514493,1509182,1538623,1560232,1600964,1651385,1705768,1773816,1780282,1840915,1857757,1864218,1928041,1904526,1881489,1882620,1886029,1858190,1757648,1728116,1732798,1775898,1876818,1852399,1760951,1690709,1680812,1746046,1704124,1761933,1794009,1842552,1975319,1949312,1987098,2003175,1998465,2081673,2093656,2109145,2163575,2236734,2341060,2373325
"pop_70",937681,964754,1041905,1132153,1150601,1163190,1165813,1567870,1485176,1480270,1509382,1531014,1571338,1621126,1674827,1741931,1748717,1808625,1825610,1832319,1895376,1872771,1850520,1851983,1855709,1828688,1730213,1701599,1706538,1749388,1849057,1825409,1735697,1666843,1657479,1722062,1681119,1738442,1770422,1818635,1949912,1924725,1962394,1978567,1974329,2056791,2069025,2084650,2138760,2211423,2314858
"pop_71",885173,913269,939953,1015395,1172169,1125830,1138366,1141243,1534635,1454099,1449616,1478380,1499994,1539851,1588971,1641936,1708018,1715113,1774233,1791321,1798279,1860500,1838818,1817389,1819176,1823217,1797069,1700787,1673100,1678295,1720853,1819172,1796335,1708456,1641072,1632267,1696125,1656203,1712981,1744830,1792677,1922330,1898000,1935503,1951766,1948012,2029658,2042117,2057898,2111618,2183716
"pop_72",841502,860082,887645,913899,1011794,1144422,1099539,1112024,1115145,1499393,1421092,1417053,1445445,1466980,1506359,1554744,1606904,1671889,1679269,1737524,1754681,1761869,1823195,1802464,1781868,1783979,1788358,1763118,1669145,1642433,1647877,1690092,1786943,1764940,1679020,1613193,1604948,1668017,1629162,1685328,1717011,1764449,1892347,1868907,1906224,1922549,1919289,2000026,2012710,2028626,2081910
"pop_73",781750,815428,833736,860726,913174,985614,1114955,1071578,1083974,1087360,1461926,1385985,1382403,1410407,1431814,1470656,1518231,1569510,1633308,1640959,1698252,1715487,1722886,1783227,1763464,1743738,1746206,1750916,1726622,1635070,1609378,1615064,1656895,1752142,1731019,1647163,1582980,1575312,1637519,1599800,1655271,1686770,1733735,1859721,1837205,1874292,1890678,1887903,1967658,1980546,1996595
"pop_74",744767,755251,788085,806091,857416,887197,957786,1083644,1041823,1054130,1057750,1422125,1348638,1345522,1373097,1394344,1432582,1479289,1529598,1592125,1600013,1656288,1673558,1681165,1740410,1721628,1702850,1705685,1710723,1687404,1598414,1573774,1579709,1621094,1714625,1694406,1612739,1550295,1543213,1604483,1567946,1622671,1653944,1700385,1824286,1802733,1839548,1855962,1853712,1932377,1945467
"pop_75",719720,717093,727510,759448,803367,830531,859642,928251,1050428,1010233,1022425,1026285,1379886,1308989,1306341,1333444,1354497,1392061,1437829,1487093,1548231,1556367,1611516,1628788,1636586,1694640,1676932,1659136,1662312,1667671,1645387,1559095,1535552,1541736,1582621,1674290,1655014,1575667,1515069,1508595,1568833,1533556,1587455,1618461,1664316,1785960,1765398,1801889,1818345,1816611,1894095
"pop_76",651315,690427,688225,698556,758271,775650,802064,830444,896958,1015244,976733,988807,992888,1335117,1266922,1264742,1291320,1312132,1348974,1393706,1441842,1501497,1509844,1563780,1581001,1588976,1645799,1629189,1612390,1615920,1621612,1600402,1516973,1494574,1500991,1541299,1630960,1612662,1535775,1477137,1471276,1530403,1496446,1549452,1580130,1625337,1744523,1725007,1761119,1777593,1776397
"pop_77",621997,622303,659976,658196,689623,729341,746311,771933,799515,863789,977962,941209,953150,957430,1287639,1222266,1220551,1246569,1267093,1303108,1346728,1393637,1451689,1460220,1512831,1529969,1538155,1593634,1578153,1562386,1566259,1572282,1552175,1471760,1450552,1457202,1496860,1584340,1567058,1492784,1436224,1431005,1488903,1456345,1508364,1538672,1583137,1699657,1681204,1716884,1733364
"pop_78",595017,591626,592246,628413,648866,660522,698790,715318,740077,766801,828704,938522,903598,915378,919840,1237336,1174927,1173674,1199055,1219230,1254352,1296753,1342322,1398628,1407330,1458483,1475547,1483921,1537936,1523607,1508897,1513136,1519462,1500504,1423284,1403288,1410157,1449073,1534197,1517975,1446458,1392108,1387550,1444113,1413005,1463922,1493794,1537432,1651054,1633708,1668889
"pop_79",571074,563200,560258,561180,610338,618481,629866,666582,682619,706466,732256,791652,896864,863836,875431,880056,1184135,1124813,1124012,1148676,1168441,1202572,1243656,1287765,1342196,1351017,1400651,1417597,1426132,1478543,1465397,1451786,1456361,1462977,1445210,1371346,1352608,1359678,1397765,1480334,1465195,1396628,1344608,1340711,1395822,1366236,1415921,1445284,1487999,1598457,1582261
"pop_80",543684,537570,530466,527970,539736,578660,586616,597682,632766,648240,671105,695893,752625,852967,821896,833254,838003,1127894,1071783,1071406,1095289,1114574,1147583,1187213,1229732,1282129,1291081,1339037,1355786,1364452,1415108,1403143,1390652,1395539,1402414,1385861,1315540,1298108,1305341,1342473,1422254,1408238,1342790,1293250,1290005,1343490,1315496,1363805,1392576,1434243,1541221
"pop_81",496927,508537,503170,496831,510821,508706,545593,553332,564027,597383,612234,634061,657764,711686,806886,777826,788898,793739,1068690,1015902,1015930,1038960,1057681,1089468,1127496,1168290,1218533,1227578,1273697,1290188,1298938,1347698,1336926,1325563,1330725,1337807,1322520,1255924,1239810,1247198,1283230,1360003,1347130,1284995,1238043,1235467,1287139,1260815,1307595,1335686,1376166
"pop_82",462800,461435,472563,467929,477047,478238,476501,511259,518740,529026,560560,574739,595473,618037,668993,758818,731828,742577,747488,1006791,957452,957869,979974,998056,1028511,1064843,1103850,1151815,1160909,1205072,1221237,1230044,1276770,1267199,1256973,1262396,1269663,1255669,1192955,1178200,1185703,1220553,1294099,1282396,1223734,1179499,1177567,1227301,1202703,1247834,1275159
"pop_83",420886,426296,425392,436001,442682,443280,444586,443217,475752,482957,492781,522398,535868,555476,576816,624675,708881,684018,694400,699332,942320,896545,897352,918432,935837,964849,999431,1036547,1082087,1091186,1133257,1149056,1157894,1202431,1194065,1184992,1190654,1198084,1185410,1126742,1113369,1120966,1154523,1224633,1214122,1159088,1117674,1116389,1164044,1141231,1184573
"pop_84",377737,384260,389558,389081,411649,407810,408615,410021,409000,439234,446125,455463,483086,495824,514234,534275,578922,657278,634591,644568,649502,875563,833444,834597,854591,871234,898781,931493,966595,1009598,1018654,1058517,1073870,1082697,1124935,1117763,1109861,1115722,1123261,1111938,1057446,1045489,1053152,1085290,1151757,1142476,1091199,1052710,1052049,1097478,1076512
"pop_85",341311,341526,347774,352919,359765,375562,372322,373305,374794,374108,401983,408515,417347,442907,454848,472011,490696,532016,604360,583856,593380,598266,806903,768507,769982,788828,804710,830679,861448,894437,934767,943736,981273,996128,1004893,1044688,1038683,1031941,1037964,1045591,1035607,985428,974869,982563,1013175,1075815,1067737,1020336,984868,984813,1027881
"pop_86",297894,305326,305852,311785,323380,324770,339267,336572,337712,339267,338889,364379,370528,378798,402269,413368,429250,446516,484418,550617,532288,541316,546111,736982,702324,704087,721796,736844,761162,789876,820655,858210,867037,902134,916409,925056,962294,957426,951811,957947,965589,956962,911174,902008,909675,938643,997281,990386,946956,914563,915091
"pop_87",253753,263432,270309,271096,283531,288567,290055,303213,301040,302289,303894,303794,326882,332626,340301,361620,371864,386419,402232,436667,496666,480474,488960,493616,666551,635598,637681,654196,668342,690933,717521,746023,780721,789344,821900,835515,843980,878568,874773,870246,876437,884050,876740,835353,827549,835123,862351,916799,911070,871653,842356
"pop_88",220926,221596,230339,236642,240485,249808,254506,256034,267857,266168,267502,269126,269265,289941,295254,302315,321495,330837,344050,358391,389347,443150,429038,436928,441392,596419,569212,571529,586813,599992,620766,645191,671353,703129,711472,741393,754278,762496,794342,791541,788042,794234,801745,795695,758703,752190,759618,784989,835150,830518,795123
"pop_89",183341,190305,191159,198965,205698,209001,217296,221606,223160,233665,232394,233771,235384,235723,254029,258901,265309,282360,290802,302664,315513,343024,390717,378580,385844,390069,527523,503925,506424,520422,532577,551519,573724,597502,626316,634295,661549,673631,681527,710568,708675,706123,712237,719566,714715,682034,676735,683948,707378,753153,749559
"pop_90",147328,155609,161765,162749,170356,176078,179105,186381,190296,191819,201048,200143,201536,203095,203598,219598,223987,229729,244706,252228,262744,274120,298261,339995,329715,336318,340336,460700,440533,443151,455833,466937,484005,503982,525355,551199,558756,583304,594508,602016,628226,627143,625441,631425,638485,634723,606219,602049,608964,630396,671757
"pop_91",114768,123063,130200,135576,137942,143459,148433,151157,157454,160945,162418,170402,169805,171171,172662,173267,187063,190980,196050,209013,215633,224825,234765,255653,291670,283107,289082,292849,396822,379871,382528,393887,403911,419098,436856,455833,478748,485804,507651,517919,524959,548355,547966,547022,552768,559490,556703,532206,529043,535589,554974
"pop_92",89898,94238,101239,107298,109886,114115,118820,123075,125491,130853,133916,135304,142110,141757,143060,144450,145122,156829,160277,164684,175737,181470,189396,197942,215745,246354,239413,244748,248223,336719,322716,325356,335396,344324,357665,373230,389871,409914,416415,435606,444890,451418,472037,472203,471891,477323,483626,481708,460953,458685,464807
"pop_93",68638,72486,76126,81947,85752,89158,92746,96692,100259,102366,106861,109499,110773,116484,116319,117531,118792,119480,129256,132224,135992,145263,150142,156871,164094,179022,204674,199160,203863,206993,281131,269790,272331,281082,288922,300463,313917,328299,345584,351469,368095,376378,382328,400257,400853,401032,406083,411893,410704,393421,391909
"pop_94",51899,54280,57440,60444,62077,68164,70983,73963,77214,80153,81954,85651,87882,89022,93725,93696,94782,95915,96582,104593,107107,110272,117905,121994,127593,133595,145939,167064,162796,166852,169639,230684,221693,224079,231577,238346,248175,259617,271846,286518,291760,305941,313217,318557,333904,334807,335360,339964,345228,344622,330493
"pop_95",38866,40217,42150,44699,42528,48296,53102,55397,57819,60441,62820,64325,67301,69146,70136,73940,74002,74952,75933,76552,82994,85077,87682,93856,97206,101783,106715,116739,133814,130586,134036,136451,185801,178829,181016,187335,193070,201285,210855,221089,233329,237909,249807,256094,260792,273705,274791,275592,279715,284400,284245
"pop_96",27846,29481,30568,32107,31075,32336,36785,40496,42326,44255,46324,48207,49437,51785,53276,54114,57126,57234,58044,58883,59432,64501,66192,68287,73171,75865,79565,83542,91516,105045,102663,105535,107596,146701,141439,143378,148612,153375,160122,167966,176374,186406,190333,200130,205454,209501,220172,221340,222273,225885,229973
"pop_97",19628,20656,21914,22773,20391,23072,24049,27398,30204,31624,33131,34724,36179,37158,38970,40143,40830,43164,43291,43965,44654,45127,49023,50365,52015,55798,57941,60869,64003,70214,80707,79011,81357,83076,113425,109530,111216,115453,119325,124755,131055,137835,145895,149193,157106,161510,164925,173570,174722,175711,178810
"pop_98",13253,14219,15000,15949,13557,14756,16727,17470,19940,22004,23091,24232,25431,26530,27282,28653,29553,30103,31866,31991,32539,33088,33476,36408,37452,38717,41600,43262,45531,47937,52672,60635,59463,61333,62721,85750,82959,84374,87734,90818,95090,100056,105398,111735,114435,120695,124257,127065,133923,135002,135959
"pop_99",23379,24944,26740,28569,22067,23378,24899,27201,29196,32231,35647,38624,41320,43860,46233,48262,50518,52606,54333,56690,58323,59757,61086,62243,65126,67840,70577,74513,78348,82552,87093,93548,103701,109651,114797,119092,138841,150347,158866,166715,174028,181949,190934,200976,212513,222341,233575,243813,252760,263892,272257
