"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_14",2028061,2005494,2006473,2030234,2065487,2044275,2002333,2016247,2035488,2035494,2046306,2069292,2067317,2011286,2016171,2019315,2013081,2012889,2028654,2043575,2058248,2072626,2086130,2098731,2109870,2118968,2126240,2132185,2137310,2141778,2145578,2148527,2150689,2152510,2154228,2155958,2158067,2160705,2164024,2168011,2172497,2177387,2182589,2188163,2194036,2200246,2206855,2213744,2220954,2228460,2236108
"pop_15",2052694,2043298,2021136,2022510,2033092,2072975,2051847,2010029,2024007,2043322,2043372,2054316,2077369,2075472,2019534,2024477,2027675,2021508,2021388,2037221,2052197,2066929,2081362,2094929,2107579,2118773,2127923,2135242,2141248,2146415,2150924,2154773,2157758,2159955,2161819,2163572,2165334,2167479,2170146,2173494,2177505,2182023,2186940,2192166,2197763,2203652,2209877,2216499,2223409,2230644,2238157
"pop_16",2078495,2068071,2059039,2037239,2034973,2042621,2082584,2061555,2019862,2033928,2053324,2053540,2064585,2087722,2085919,2030088,2035106,2038375,2032299,2032262,2048174,2063229,2078039,2092538,2106170,2118892,2130147,2139368,2146760,2152819,2158045,2162615,2166521,2169556,2171800,2173709,2175522,2177327,2179504,2182207,2185594,2189644,2194199,2199149,2204407,2210027,2215945,2222192,2228839,2235770,2243018
"pop_17",2121892,2094014,2083894,2075162,2044101,2047014,2054759,2094807,2073898,2032365,2046530,2066146,2066484,2077651,2100897,2099206,2043504,2048619,2051984,2046022,2046077,2062100,2077245,2092138,2106731,2120451,2133255,2144600,2153907,2161377,2167520,2172821,2177466,2181435,2184533,2186841,2188810,2190673,2192540,2194767,2197515,2200956,2205063,2209653,2214639,2219937,2225604,2231554,2237830,2244499,2251450
"pop_18",2159806,2137236,2109593,2099693,2057632,2058921,2062003,2069862,2110039,2089266,2047914,2062326,2082101,2082601,2093910,2117299,2115728,2060192,2065428,2068913,2063077,2063262,2079404,2094660,2109674,2124367,2138188,2151113,2162561,2171966,2179539,2185778,2191176,2195899,2199956,2203137,2205516,2207553,2209501,2211432,2213722,2216528,2220047,2224205,2228842,2233873,2239230,2244936,2250919,2257228,2263935
"pop_19",2197708,2174189,2151758,2124252,2102178,2075068,2076496,2079760,2087767,2128101,2107498,2066471,2081067,2101031,2101704,2113178,2136732,2135313,2079962,2085342,2088973,2083282,2083618,2099889,2115279,2130424,2145244,2159203,2172249,2183818,2193344,2201020,2207382,2212878,2217698,2221860,2225134,2227599,2229729,2231755,2233760,2236130,2239011,2242596,2246812,2251515,2256600,2262008,2267759,2273784,2280139
"pop_20",2209272,2212142,2188669,2166282,2146302,2121504,2094560,2096150,2099615,2107797,2148292,2128023,2087238,2102026,2122202,2123069,2134733,2158461,2157207,2102063,2107598,2111377,2105852,2106338,2122767,2138314,2153598,2168566,2182660,2195840,2207546,2217197,2225003,2231482,2237084,2242021,2246295,2249662,2252225,2254445,2256554,2258654,2261114,2264063,2267712,2272007,2276768,2281913,2287382,2293181,2299249
"pop_21",2153672,2222729,2225552,2202044,2176351,2166661,2142108,2115336,2117113,2120785,2129154,2169971,2149921,2109375,2124364,2144767,2145834,2157702,2181608,2180523,2125590,2131294,2135232,2129879,2130521,2147123,2162818,2178262,2193371,2207618,2220928,2232783,2242560,2250493,2257098,2262810,2267867,2272240,2275713,2278388,2280694,2282903,2285092,2287628,2290659,2294386,2298743,2303571,2308783,2314301,2320152
"pop_22",2121397,2165959,2234875,2237592,2241234,2197046,2187466,2163160,2136569,2138531,2142414,2151089,2192144,2172323,2132006,2147202,2167828,2169106,2181172,2205263,2204353,2149637,2155509,2159608,2154427,2155230,2172004,2187856,2203457,2218715,2233107,2246557,2258554,2268460,2276525,2283254,2289089,2294257,2298740,2302323,2305088,2307502,2309804,2312079,2314705,2317806,2321611,2326046,2330930,2336211,2341785
"pop_23",2094569,2134573,2178973,2247721,2294579,2261894,2217939,2208461,2184395,2157990,2160124,2164359,2173253,2214530,2194924,2154851,2170256,2191101,2192575,2204854,2229111,2228378,2173871,2179917,2184173,2179162,2180134,2197070,2213089,2228832,2244244,2258772,2272380,2284500,2294554,2302732,2309597,2315542,2320836,2325424,2329112,2331982,2334499,2336890,2339246,2341958,2345139,2349020,2353512,2358472,2363818
