"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_27",4269237,4251283,4316578,4355168,4334890,4443015,4582744,4803078,4849582,4806064,4728430,4701756,4650843,4592675,4589061,4602895,4622786,4709995,4665193,4581891,4614965,4661994,4669842,4698451,4747642,4742927,4630779,4645654,4663130,4651172,4657589,4693180,4727311,4760931,4793790,4824776,4853798,4879740,4901431,4919206,4934294,4947528,4959282,4969562,4977951,4984661,4990571,4996128,5001598,5007740,5014825
"pop_28",4298928,4298519,4280646,4345963,4354323,4367581,4475907,4616047,4836423,4883306,4840005,4763048,4736639,4686136,4628460,4625272,4639484,4659763,4747350,4702990,4620096,4653517,4700910,4709123,4738041,4787503,4783110,4671357,4686494,4704235,4692564,4699235,4735089,4769466,4803334,4836412,4867626,4896870,4923007,4944892,4962871,4978143,4991544,5003472,5013917,5022454,5029305,5035345,5041023,5046606,5052850
"pop_29",4366874,4327891,4327674,4310017,4389704,4384373,4398212,4506652,4647114,4867524,4914688,4871781,4795281,4769158,4719105,4661876,4659073,4673649,4694292,4782222,4738253,4655767,4689502,4737239,4745758,4774985,4824718,4820608,4709211,4724605,4742583,4731169,4738070,4774172,4808783,4842847,4876139,4907564,4936986,4963319,4985385,5003527,5018976,5032519,5044608,5055188,5063872,5070843,5076992,5082779,5088461
"pop_30",4331902,4394498,4355863,4355954,4252230,4416896,4412091,4426384,4534921,4675612,4896022,4943543,4900898,4824830,4799086,4749435,4692631,4690199,4705097,4726072,4814305,4770711,4688607,4722629,4770673,4779472,4808995,4858966,4855128,4744064,4759686,4777879,4766693,4773803,4810135,4844937,4879189,4912681,4944265,4973874,5000369,5022593,5040892,5056474,5070166,5082391,5093089,5101896,5108964,5115221,5121097
"pop_31",4156461,4357814,4420775,4382578,4318575,4276717,4441321,4436975,4451571,4560164,4701019,4921508,4969244,4926893,4851316,4825917,4776642,4720224,4718128,4733320,4754592,4843095,4799849,4718097,4752366,4800686,4809764,4839538,4889734,4886123,4775374,4791191,4809572,4798610,4805900,4842421,4877404,4911828,4945466,4977213,5006974,5033600,5055982,5074406,5090113,5103944,5116266,5127074,5135975,5143135,5149484
"pop_32",4045728,4180441,4382072,4445446,4318366,4339486,4298287,4462805,4458841,4473663,4582250,4723281,4943818,4991780,4949773,4874647,4849565,4800630,4744570,4742769,4758229,4779770,4868513,4825592,4744159,4778646,4827232,4836549,4866567,4916942,4913541,4803082,4819083,4837639,4826847,4834297,4870997,4906128,4940687,4974474,5006364,5036239,5063009,5085508,5104049,5119866,5133803,5146211,5157119,5166096,5173333
"pop_33",3959450,4067360,4202434,4404362,4272544,4336956,4357996,4317325,4481746,4478084,4493109,4601692,4742850,4963454,5011725,4970042,4895344,4870547,4821929,4766191,4764665,4780358,4802146,4891100,4848462,4767349,4802044,4850873,4860405,4890636,4941176,4937976,4827776,4843947,4862644,4852015,4859611,4896462,4931721,4966408,5000330,5032333,5062324,5089210,5111815,5130447,5146372,5160381,5172876,5183862,5192903
"pop_34",3906015,3978633,4086932,4222363,4358493,4289091,4353844,4374764,4334542,4498811,4495429,4510645,4619232,4760557,4981300,5029834,4988463,4914164,4889637,4841319,4785893,4784612,4800530,4822540,4911686,4869342,4788523,4823416,4872464,4882204,4912628,4963316,4960299,4850341,4866666,4885493,4875018,4882734,4919717,4955104,4989903,5023935,5056034,5086148,5113117,5135806,5154543,5170547,5184625,5197196,5208250
"pop_35",3963126,3922656,3995698,4104367,4090127,4372984,4304369,4369336,4390149,4350287,4514395,4511236,4526686,4635326,4776905,4997740,5046540,5005466,4931558,4907281,4859240,4804119,4803089,4819196,4841419,4930738,4888686,4808156,4843242,4892504,4902427,4933024,4983846,4981009,4871278,4887745,4906691,4896350,4904195,4941298,4976791,5011704,5045823,5078025,5108225,5135271,5158062,5176867,5192936,5207088,5219731
"pop_36",3881076,3977185,3937258,4010680,4010218,4103961,4386408,4318463,4383585,4404313,4364769,4528667,4525812,4541478,4650275,4792058,5012991,5062036,5021264,4947727,4923678,4875920,4821087,4820281,4836570,4858996,4948499,4906714,4826479,4861742,4911194,4921291,4952066,5003022,5000337,4890835,4907429,4926484,4916282,4924230,4961455,4997051,5032058,5066260,5098547,5128822,5155966,5178816,5197685,5213843,5228060
"pop_37",3957695,3893313,3989753,3950339,3970081,4022709,4116777,4398787,4331450,4396692,4417335,4378038,4541867,4539326,4555266,4664181,4806174,5027170,5076467,5035978,4962808,4938980,4891476,4836931,4836349,4852828,4875453,4965126,4923606,4843653,4879080,4928725,4939004,4969944,5021012,5018488,4909214,4925909,4945078,4935001,4943056,4980392,5016078,5051170,5085460,5117818,5148189,5175387,5198301,5217257,5233474
"pop_38",4123923,3968272,3904436,4001174,3854355,3981690,4034381,4128692,4410293,4343463,4408829,4429306,4390396,4554210,4552003,4568193,4677232,4819414,5040463,5089999,5049777,4976973,4953356,4906104,4851858,4851495,4868157,4890998,4980807,4939550,4859878,4895472,4945310,4955748,4986856,5038040,5035663,4926609,4943410,4962685,4952732,4960894,4998319,5034105,5069283,5103639,5136090,5166513,5193788,5216764,5235787
"pop_39",4341575,4132512,3977543,3914230,3974444,3865068,3992390,4045065,4139571,4420773,4354386,4419767,4440247,4401757,4565593,4563702,4580145,4689282,4831636,5052724,5102477,5062532,4990078,4966679,4919685,4865720,4865578,4882438,4905458,4995411,4954414,4875031,4910780,4960794,4971387,5002664,5053950,5051714,4942880,4959783,4979163,4969322,4977577,5015107,5050983,5086232,5120669,5153175,5183678,5211021,5234066
"pop_40",4416869,4347942,4139665,3985366,3851401,3983251,3874432,4001720,4054352,4148991,4429801,4363740,4429245,4449836,4411761,4575594,4574004,4590687,4699907,4842423,5063513,5113488,5073802,5001703,4978506,4931750,4878088,4878168,4895206,4918420,5008495,4967763,4888662,4924568,4974748,4985498,5016924,5068310,5066202,4957586,4974593,4994086,4984351,4992706,5030318,5066269,5101597,5136114,5168680,5199257,5226654
"pop_41",4199196,4421251,4352865,4145382,3911379,3858627,3990311,3882005,4009244,4061818,4156571,4436836,4371267,4436897,4457649,4419964,4583777,4582476,4599387,4708677,4851338,5072399,5122594,5083151,5011413,4988406,4941917,4888547,4888831,4906037,4929432,5019634,4979158,4900343,4936393,4986724,4997640,5029195,5080675,5078694,4970304,4987422,5007007,4997379,5005818,5043521,5079550,5114946,5149520,5182158,5212796
"pop_42",4095240,4202466,4424438,4356589,4089495,3916268,3864100,3995557,3887761,4014947,4067456,4162170,4442063,4376982,4442782,4463654,4426350,4590131,4589114,4606238,4715594,4858373,5079397,5129776,5090598,5019197,4996413,4950181,4897090,4897578,4914947,4938524,5028836,4988625,4910070,4946263,4996755,5007820,5039501,5091074,5089218,4981066,4998270,5017942,5008442,5016962,5054755,5090848,5126304,5160952,5193655
"pop_43",4094590,4097369,4204742,4426595,4326021,4092606,3919756,3868131,3999310,3892005,4019149,4071450,4166270,4445835,4381237,4447184,4468180,4431266,4594985,4594246,4611584,4720983,4863864,5084831,5135393,5096462,5025439,5002866,4956887,4904084,4904764,4922314,4946065,5036479,4996513,4918245,4954579,5005227,5016417,5048244,5099893,5098174,4990243,5007538,5027320,5017915,5026521,5064395,5100560,5136104,5170800
"pop_44",4203765,4095334,4098494,4205992,4381655,4327261,4094613,3922136,3871027,4001914,3895079,4022024,4074316,4169257,4448486,4384387,4450472,4471590,4435071,4598700,4598247,4615786,4725225,4868197,5089087,5139817,5101166,5030523,5008152,4962452,4909936,4910828,4928543,4952469,5042982,5003261,4925303,4961772,5012557,5023897,5055857,5107587,5105996,4998299,5015694,5035558,5026264,5034961,5072925,5109164,5144775
"pop_45",4468228,4202745,4095017,4098547,4154848,4381254,4327391,4095551,3923483,3872849,4003458,3896919,4023845,4076196,4171251,4450111,4386521,4452743,4473996,4437855,4601393,4601231,4618973,4728438,4871482,5092267,5143203,5104818,5034571,5012426,4966998,4914778,4915890,4933779,4957882,5048481,5009034,4931383,4967990,5018923,5030414,5062506,5114313,5112846,5005404,5022890,5042841,5033666,5042442,5080504,5116805
"pop_46",4528943,4464766,4200453,4093442,4069099,4153768,4379691,4326299,4095304,3923716,3873521,4003705,3897679,4024553,4077019,4172187,4450637,4387571,4453926,4475300,4439557,4603007,4603119,4621076,4730548,4873646,5094338,5145458,5107367,5037526,5015600,4970465,4918567,4919882,4937958,4962247,5052926,5013749,4936421,4973174,5024260,5035902,5068125,5119999,5118686,5011502,5029084,5049134,5040062,5048933,5087083
"pop_47",4514791,4523602,4459987,4196892,4074304,4066359,4151276,4376690,4323732,4093616,3922567,3872631,4002613,3897152,4023988,4076565,4171827,4449830,4387309,4453783,4475284,4439959,4603288,4603693,4621850,4731317,4874485,5095048,5146362,5108566,5039144,5017461,4972638,4921061,4922611,4940860,4965334,5056076,5017202,4940210,4977096,5028335,5040130,5072483,5124442,5123287,5016370,5034060,5054204,5045250,5054225
"pop_48",4525611,4507955,4517126,4454080,4151453,4070170,4062136,4147252,4372143,4319632,4090426,3919784,3870348,4000139,3895292,4022069,4074771,4170106,4447629,4385668,4452247,4473890,4438991,4602183,4602864,4621243,4730731,4873944,5094357,5145849,5108370,5039388,5017961,4973463,4922230,4924002,4942443,4967091,5057919,5019344,4942696,4979713,5031117,5043063,5075553,5127601,5126595,5019960,5037763,5058007,5049189
"pop_49",4558142,4517034,4499845,4509383,4402094,4145136,4064576,4056506,4141792,4366134,4314094,4085630,3915696,3866767,3996399,3892190,4018910,4071722,4167136,4444117,4382747,4449435,4471232,4436766,4599789,4600776,4619396,4728883,4872134,5092369,5144068,5106916,5038369,5017228,4973070,4922193,4924195,4942826,4967669,5058585,5020317,4944015,4981187,5032746,5044850,5077488,5129619,5128770,5022456,5040358,5060719
"pop_50",4629668,4547769,4507246,4490539,4485065,4392871,4137386,4057554,4049508,4134934,4358707,4306949,4079522,3910391,3861981,3991435,3887909,4014556,4067468,4162945,4439358,4378599,4445396,4467350,4433335,4596174,4597503,4616362,4725855,4869122,5089170,5141061,5104246,5036182,5015326,4971532,4921023,4923278,4942106,4967151,5058140,5020189,4944266,4981595,5033313,5045585,5078377,5130594,5129914,5023920,5041948
"pop_51",4460629,4617457,4536403,4496483,4482625,4473620,4382184,4128175,4049103,4041117,4126662,4349617,4298435,4072111,3903838,3855959,3985247,3882425,4008971,4062001,4157525,4433334,4373200,4440103,4462227,4428663,4591349,4593018,4612133,4721608,4864889,5084722,5136810,5100366,5032798,5012238,4968820,4918709,4921216,4940257,4965513,5056571,5018965,4943437,4980916,5032798,5045263,5078197,5130494,5130013,5024350
"pop_52",4444284,4447711,4604255,4524080,4475720,4469245,4460748,4370068,4117616,4039296,4031423,4116859,4339199,4288613,4063484,3896116,3848814,3977890,3875809,4002235,4055387,4150963,4426115,4366636,4433641,4455932,4422882,4585379,4587391,4606761,4716225,4859520,5079103,5131395,5095345,5028278,5008031,4965015,4915309,4918097,4937351,4962812,5053968,5016702,4941585,4979228,5031288,5043939,5077027,5129420,5129124
"pop_53",4347297,4429941,4433815,4590059,4532166,4460772,4454533,4446573,4356669,4105817,4028282,4020347,4105896,4327578,4277641,4053760,3887362,3840644,3969498,3868186,3994484,4047753,4143361,4417828,4359016,4426122,4448622,4416096,4578386,4580751,4600384,4709837,4853113,5072432,5124939,5089276,5022742,5002829,4960210,4910960,4914034,4933492,4959192,5050416,5013522,4938832,4976656,5028893,5041737,5074983,5127460
"pop_54",4227142,4331740,4414440,4418789,4571112,4515002,4444447,4438506,4431087,4341988,4092796,4015841,4008135,4093787,4314791,4265522,4042958,3877576,3831463,3960072,3859564,3985711,4039087,4134731,4408446,4350339,4417574,4440288,4408304,4570381,4573091,4592999,4702423,4845660,5064700,5117406,5082143,5016175,4996604,4954433,4905648,4908995,4928702,4954619,5045909,5009411,4935186,4973188,5025598,5038641,5072050
"pop_55",4211049,4210338,4314860,4397618,4419271,4551557,4496512,4426798,4421208,4414313,4326044,4078328,4002235,3994809,4080577,4300840,4252283,4031087,3866761,3821290,3949620,3849960,3975942,4029422,4125077,4397973,4340638,4408006,4430947,4399512,4561332,4564420,4584604,4693972,4837171,5055866,5108776,5073951,5008553,4989371,4947646,4899354,4902996,4922934,4949083,5040449,5004361,4930617,4968802,5021382,5034636
"pop_56",4020634,4192224,4192088,4296520,4394194,4398728,4530600,4476610,4407754,4402536,4396170,4308485,4062602,3987400,3980300,4066170,4285651,4237817,4018059,3854844,3810023,3938075,3839279,3965076,4018656,4114300,4386370,4329814,4397315,4420472,4389608,4551149,4554626,4575090,4684392,4827505,5045842,5098953,5064571,4999787,4980998,4939745,4891960,4895922,4916089,4942484,5033924,4998263,4925021,4963390,5016151
"pop_57",3894794,4000715,4171671,4172132,4346785,4371736,4376769,4508215,4455289,4387301,4382476,4376338,4289570,4045620,3971350,3964599,4050562,4269207,4222120,4003858,3841818,3797681,3925401,3827514,3953102,4006770,4102428,4373611,4317861,4385488,4408868,4378600,4539840,4543715,4564456,4673687,4816688,5034620,5087936,5054006,4989860,4971489,4930738,4883472,4887762,4908179,4934834,5026332,4991116,4918400,4956982
"pop_58",3765043,3873134,3978828,4149074,4191782,4322549,4347853,4353419,4484389,4432556,4365454,4360732,4355166,4269367,4027424,3954133,3947752,4033792,4251540,4205227,3988542,3827728,3784279,3911664,3814724,3940067,3993857,4089504,4359752,4304836,4372584,4396207,4366540,4527458,4531735,4552774,4661907,4804781,5022268,5075789,5042338,4978848,4960910,4920678,4873976,4878608,4899276,4926194,5017753,4982994,4910845
"pop_59",3625633,3741629,3849455,3954881,4155788,4166575,4296934,4322590,4328687,4459165,4408445,4341970,4337704,4332735,4247929,4008084,3935811,3929814,4015916,4232735,4187217,3972184,3812641,3769917,3896943,3800971,3926097,3979998,4075632,4344877,4290836,4358703,4382574,4353534,4514103,4518795,4540130,4649161,4791870,5008877,5062616,5029654,4966847,4949363,4909673,4863554,4868543,4889471,4916666,5008254,4973989
"pop_60",3611517,3600491,3716127,3823644,3986465,4128691,4140000,4269911,4295927,4302562,4432530,4382635,4317163,4313409,4309027,4225261,3987598,3916389,3910784,3996944,4212780,4168093,3954784,3796572,3754593,3881237,3786313,3911188,3965208,4060806,4329001,4275857,4343848,4367975,4339583,4499767,4504900,4526534,4635443,4777978,4994465,5048416,5015970,4953873,4936852,4897738,4852226,4857584,4878770,4906237,4997882
