"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_43",12287476,12329016,12680804,13387154,12951834,12255956,11720958,11604652,12045512,11710504,12085448,12276492,12579396,13482652,13244864,13466994,13553014,13471452,14018208,14060662,14132376,14478558,14940576,15623332,15812096,15764926,15586466,15503652,15358224,15187464,15167804,15239020,15322196,15609590,15475350,15226942,15348174,15522588,15577204,15691276,15856244,15846694,15510870,15575646,15662394,15625582,15665142,15802562,15921512,16039078,16153954
"pop_44",12603310,12276856,12319390,12671240,13167026,12949322,12256228,11722426,11608076,12047288,11713916,12088168,12278880,12582010,13484050,13248228,13470856,13557034,13476942,14023176,14066734,14139044,14485428,14947878,15630306,15819594,15773334,15596260,15514278,15369816,15200178,15181378,15253178,15336982,15624804,15491452,15244124,15365856,15540802,15595954,15710496,15875780,15866704,15531684,15596834,15683876,15647446,15687332,15825124,15944300,16062096
"pop_45",13391488,12586602,12262470,12305990,12458844,13158650,12943124,12252938,11720572,11607876,12045536,11713260,12087346,12278080,12581538,13482200,13248330,13471552,13557930,13479222,14024970,14069534,14142510,14488972,14951788,15633738,15823740,15778388,15602758,15521668,15378134,15209694,15191726,15264220,15348654,15636802,15504550,15258264,15380462,15555966,15611726,15726686,15892244,15883702,15549584,15614934,15702414,15666368,15706550,15844670,15964078
"pop_46",13496484,13366264,12565512,12243770,12184304,12448350,13146076,12932486,12245302,11714694,11603332,12039118,11708596,12082428,12273560,12577296,13476418,13244586,13468346,13554928,13477656,14022920,14068402,14142122,14488600,14951686,15633240,15823844,15779426,15605350,15525130,15382606,15215420,15198246,15271420,15356604,15645050,15513856,15268670,15391390,15567458,15623864,15739230,15905132,15897118,15563906,15629592,15717470,15681784,15722322,15860724
"pop_47",13419762,13464932,13336342,12539934,12157542,12167450,12432524,13128202,12916206,12232106,11703516,11592900,12027568,11698998,12072726,12264200,12568168,13465618,13235906,13460088,13546888,13471110,14015790,14062284,14136652,14483132,14946532,15627538,15818802,15775328,15602772,15523552,15382128,15216248,15199920,15273744,15359606,15648314,15518302,15274222,15397468,15574076,15631114,15746988,15913210,15905836,15573560,15639610,15727818,15692566,15733476
"pop_48",13439762,13382924,13429096,13302184,12391522,12135504,12144668,12410604,13104120,12893788,12212874,11685950,11576872,12010464,11684114,12057656,12249496,12553594,13449162,13221662,13446238,13533248,13459036,14002970,14050462,14125626,14472148,14935760,15616262,15808086,15765640,15594618,15516490,15376178,15211660,15196218,15270678,15357248,15646308,15517424,15274534,15398314,15575520,15633142,15749526,15916114,15909300,15578016,15644426,15733090,15698288
"pop_49",13490316,13396676,13341284,13388484,13123830,12360826,12107670,12116298,12382872,13074200,12865582,12187252,11663086,11555596,11988270,11664242,12037524,12229740,12534046,13427492,13202322,13427330,13514564,13441874,13984972,14033600,14109574,14456092,14919902,15599760,15792250,15750828,15581350,15504464,15365364,15202184,15187646,15262804,15350128,15639544,15511866,15270154,15394480,15572258,15630512,15747448,15914420,15908216,15578104,15644872,15733976
"pop_50",13742080,13441040,13349250,13295388,13315500,13082206,12324624,12074196,12082710,12349696,13038784,12831234,12156526,11635438,11529706,11961454,11639876,12012912,12205360,12509732,13400978,13178246,13403680,13491196,13420138,13962336,14012152,14088916,14435472,14899356,15578570,15771632,15731336,15563602,15487874,15350038,15188354,15174826,15250654,15338726,15628520,15502048,15261670,15386570,15564960,15623840,15741380,15908744,15903142,15574156,15641426
"pop_51",13173286,13686172,13388260,13298384,13277756,13265516,13034936,12282762,12035120,12043674,12310978,12996948,12791548,12120764,11602966,11499028,11929852,11610878,11983514,12176292,12480762,13369610,13149372,13375192,13463074,13393604,13935034,13986076,14063666,14410096,14874106,15552454,15746280,15707106,15541238,15466732,15330210,15170104,15157654,15234222,15323114,15613184,15488082,15249134,15374648,15553584,15613204,15731298,15898972,15894092,15566384
"pop_52",13104532,13115272,13626576,13331950,13239222,13220596,13210122,12982142,12235662,11990882,11999694,12266402,12949952,12746842,12080364,11566098,11464064,11893766,11577514,11949720,12142822,12447348,13333650,13116078,13342242,13430450,13362918,13903322,13955578,14034090,14380472,14844522,15521942,15716414,15678548,15514486,15441234,15306200,15147750,15136436,15213804,15303486,15593946,15470162,15232748,15358870,15538466,15598838,15717528,15885632,15881454
